Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 70 yards, returned by Deji Karim for 20 yards (tackle by Tony Jefferson)",0.000,0.220
1,14:54,1,10,HOU 15,0,6,"Case Keenum sacked by John Abraham for -7 yards. Case Keenum fumbles (forced by John Abraham), recovered by Matt Shaughnessy at HOU-6 and returned for 6 yards, touchdown",-0.220,-7.000
1,14:46,,,HOU 2,0,7,Jay Feely kicks extra point good,0.000,0.000
1,14:46,,,ARI 35,0,7,"Jay Feely kicks off 68 yards, returned by Deji Karim for 31 yards (tackle by Javier Arenas)",0.000,-0.810
1,14:40,1,10,HOU 28,0,7,Case Keenum pass incomplete short middle intended for Andre Johnson (defended by Karlos Dansby),0.810,0.260
1,14:35,2,10,HOU 28,0,7,Ben Tate left tackle for 3 yards (tackle by Karlos Dansby),0.260,-0.030
1,13:49,3,7,HOU 31,0,7,"Penalty on Case Keenum: Delay of Game, 5 yards (no play)",-0.030,-0.690
1,13:33,3,12,HOU 26,0,7,Case Keenum pass complete short left to DeVier Posey for 11 yards (tackle by Daryl Washington),-0.690,-0.910
1,12:56,4,1,HOU 37,0,7,"Shane Lechler punts 53 yards, returned by Patrick Peterson for 3 yards (tackle by Josh Victorian)",-0.910,0.320
1,12:43,1,10,ARI 13,0,7,Rashard Mendenhall up the middle for 1 yard (tackle by J.J. Watt),-0.320,-0.680
1,12:07,2,9,ARI 14,0,7,"Rashard Mendenhall up the middle for -2 yards (tackle by Brooks Reed). Penalty on Antonio Smith: Defensive Offside, 5 yards (no play)",-0.680,0.030
1,11:49,2,4,ARI 19,0,7,Rashard Mendenhall up the middle for 1 yard (tackle by Joe Mays),0.030,-0.590
1,11:05,3,3,ARI 20,0,7,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald (defended by Joe Mays),-0.590,-2.030
1,11:00,4,3,ARI 20,0,7,"Dave Zastudil punts 41 yards, returned by Keshawn Martin for 12 yards (tackle by Yeremiah Bell)",-2.030,-2.320
1,10:47,1,10,ARI 49,0,7,Ben Tate right tackle for -4 yards (tackle by Daryl Washington),2.320,1.240
1,10:05,2,14,HOU 47,0,7,Case Keenum pass complete short left to Greg Jones for 19 yards (tackle by Patrick Peterson),1.240,3.310
1,9:28,1,10,ARI 34,0,7,Ben Tate right tackle for 2 yards (tackle by Tyrann Mathieu),3.310,3.040
1,8:46,2,8,ARI 32,0,7,Case Keenum pass complete short right to DeVier Posey for 12 yards (tackle by Rashad Johnson),3.040,4.240
1,8:01,1,10,ARI 20,0,7,Ben Tate left tackle for no gain (tackle by Frostee Rucker),4.240,3.690
1,7:28,2,10,ARI 20,0,7,Case Keenum up the middle for 7 yards (tackle by Tyrann Mathieu),3.690,4.100
1,6:41,3,3,ARI 13,0,7,Case Keenum pass complete short right to Garrett Graham for 6 yards (tackle by Rashad Johnson),4.100,5.600
1,6:03,1,7,ARI 7,6,7,"Case Keenum pass complete short right to Andre Johnson for 7 yards, touchdown",5.600,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
1,6:03,,,ARI 2,7,7,Randy Bullock kicks extra point good,0.000,0.000
1,6:03,,,HOU 35,7,7,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
1,5:55,1,10,ARI 20,7,7,Carson Palmer pass complete short right to Andre Roberts for 19 yards (tackle by Shiloh Keo),0.280,1.530
1,5:29,1,10,ARI 39,7,7,Andre Ellington up the middle for 4 yards (tackle by Earl Mitchell and Joe Mays),1.530,1.530
1,4:50,2,6,ARI 43,7,7,Carson Palmer pass complete short right to Michael Floyd for 11 yards (tackle by Kareem Jackson),1.530,2.520
1,4:14,1,10,HOU 46,7,7,Carson Palmer pass incomplete short right intended for Larry Fitzgerald,2.520,1.980
1,4:10,2,10,HOU 46,7,7,Rashard Mendenhall left end for 5 yards (tackle by Darryl Sharpton and Joe Mays),1.980,1.950
1,3:28,3,5,HOU 41,7,7,Carson Palmer pass incomplete short left intended for Andre Ellington,1.950,0.530
1,3:24,4,5,HOU 41,7,7,Dave Zastudil punts 40 yards,0.530,0.380
1,3:12,1,10,HOU 1,7,7,Dennis Johnson right end for 4 yards (tackle by Darnell Dockett and Calais Campbell),-0.380,-0.490
1,2:33,2,6,HOU 5,7,7,Dennis Johnson up the middle for no gain (tackle by Calais Campbell and Dan Williams),-0.490,-0.950
1,1:48,3,6,HOU 5,7,7,Case Keenum pass incomplete short left intended for Andre Johnson,-0.950,-2.490
1,1:44,4,6,HOU 5,7,7,Shane Lechler punts 61 yards (tackle by Shiloh Keo),-2.490,-1.730
1,1:25,1,10,ARI 42,7,7,Carson Palmer pass complete short right to Michael Floyd for 20 yards (tackle by Kareem Jackson),1.730,3.050
1,0:46,1,10,HOU 38,7,7,Carson Palmer pass complete short middle to Andre Roberts for 8 yards (tackle by Kareem Jackson),3.050,3.590
1,0:10,2,2,HOU 30,7,7,Andre Ellington for 1 yard (tackle by Kareem Jackson),3.590,3.010
Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,HOU 29,7,7,"Penalty on Eric Winston: False Start, 5 yards (no play)",3.010,2.340
2,15:00,3,6,HOU 34,7,7,Carson Palmer pass complete short left to Jaron Brown for 7 yards (tackle by Brandon Harris),2.340,3.780
2,14:28,1,10,HOU 27,7,7,Carson Palmer pass complete short left to Jake Ballard for 15 yards (tackle by Joe Mays),3.780,4.780
2,14:04,1,10,HOU 12,7,13,"Carson Palmer pass complete short left to Rob Housler for 12 yards, touchdown",4.780,7.000
2,14:04,,,HOU 2,7,14,Jay Feely kicks extra point good,0.000,0.000
2,14:04,,,ARI 35,7,14,"Jay Feely kicks off 65 yards, touchback",0.000,-0.280
2,13:57,1,10,HOU 20,7,14,Case Keenum pass complete short left to Andre Johnson for 14 yards (tackle by Patrick Peterson),0.280,1.200
2,13:22,1,10,HOU 34,7,14,Case Keenum pass complete deep middle to DeAndre Hopkins for 18 yards (tackle by Yeremiah Bell),1.200,2.390
