Quarter,Time,Tm,Detail,CLE,BUF
1.0,10:14,Bills,Dan Carpenter 21 yard field goal,0,3
,3:50,Browns,Cody Parkey 35 yard field goal,3,3
,0:00,Bills,Mike Gillislee 3 yard rush (Dan Carpenter kick),3,10
2.0,0:34,Bills,Charles Clay 19 yard pass from Tyrod Taylor (Dan Carpenter kick),3,17
3.0,8:58,Browns,Robert Griffin III 18 yard rush (Cody Parkey kick),10,17
,5:50,Bills,LeSean McCoy 3 yard rush (Dan Carpenter kick),10,24
,1:32,Browns,Cody Parkey 40 yard field goal,13,24
4.0,12:38,Bills,LeSean McCoy 8 yard rush (Dan Carpenter kick failed),13,30
,7:21,Bills,Dan Carpenter 34 yard field goal,13,33
