Unnamed: 0,CLE,BUF
First Downs,16,29
Rush-Yds-TDs,21-107-1,40-280-3
Cmp-Att-Yd-TD-INT,17-28-196-0-0,17-25-174-1-0
Sacked-Yards,5-34,1-3
Net Pass Yards,162,171
Total Yards,269,451
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,4-51,5-42
Third Down Conv.,3-11,4-9
Fourth Down Conv.,1-1,0-1
Time of Possession,25:41,34:19
