Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,CLE 25,0,0,Robert Griffin pass complete short right to Terrelle Pryor for no gain,0.610,0.060
1,14:33,2,10,CLE 25,0,0,"Isaiah Crowell middle for 12 yards (tackle by Corey Graham). Penalty on Jonathan Cooper: Offensive Holding, 10 yards (no play)",0.060,-1.430
1,14:11,2,20,CLE 15,0,0,Isaiah Crowell right guard for 2 yards (tackle by Ronald Darby),-1.430,-1.930
1,13:35,3,18,CLE 17,0,0,Robert Griffin pass incomplete short middle intended for Duke Johnson,-1.930,-2.320
1,13:31,4,18,CLE 17,0,0,"Britton Colquitt punts 49 yards. Penalty on Briean Boddy-Calhoun: Interference with Opportunity to, 15 yards",-2.320,-2.460
1,13:20,1,10,CLE 47,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for -2 yards (tackle by Demario Davis),2.460,1.640
1,12:46,2,12,CLE 49,0,0,LeSean McCoy left tackle for 20 yards (tackle by Tramon Williams),1.640,3.640
1,12:11,1,10,CLE 29,0,0,LeSean McCoy right tackle for 24 yards (tackle by Ed Reynolds),3.640,6.060
1,11:36,1,5,CLE 5,0,0,Tyrod Taylor right end for no gain (tackle by Ed Reynolds),6.060,5.150
1,11:01,2,5,CLE 5,0,0,Tyrod Taylor pass incomplete short right intended for Justin Hunter,5.150,4.260
1,10:56,3,5,CLE 5,0,0,Tyrod Taylor right end for 2 yards (tackle by Jamie Meder),4.260,3.040
1,10:17,4,3,CLE 3,0,3,Dan Carpenter 21 yard field goal good,3.040,3.000
1,10:14,,,BUF 35,0,3,"Dan Carpenter kicks off 66 yards, returned by Mario Alford for 21 yards (tackle by Sergio Brown)",0.000,-0.280
1,10:08,1,10,CLE 20,0,3,Robert Griffin pass complete short left to Corey Coleman for 8 yards (tackle by Lorenzo Alexander),0.280,0.810
1,9:32,2,2,CLE 28,0,3,"Robert Griffin for no gain. Robert Griffin fumbles, recovered by Isaiah Crowell at CLE-26",0.810,-0.160
1,8:52,3,4,CLE 26,0,3,Robert Griffin pass complete short right to Duke Johnson for 13 yards (tackle by Preston Brown),-0.160,1.530
1,8:16,1,10,CLE 39,0,3,Isaiah Crowell left end for 3 yards (tackle by Corey Graham),1.530,1.390
1,7:45,2,7,CLE 42,0,3,Robert Griffin pass complete short left to Corey Coleman for 11 yards (tackle by Lorenzo Alexander),1.390,2.460
1,7:17,1,10,BUF 47,0,3,"Robert Griffin pass incomplete short right intended for Andrew Hawkins (defended by Nickell Robey-Coleman). Penalty on Lorenzo Alexander: Defensive Offside, 5 yards (no play)",2.460,3.190
1,7:12,1,5,BUF 42,0,3,Isaiah Crowell right end for 25 yards (tackle by Preston Brown),3.190,4.440
1,6:35,1,10,BUF 17,0,3,Robert Griffin pass complete short left to Terrelle Pryor for 8 yards (tackle by Ronald Darby),4.440,5.290
1,6:02,2,2,BUF 9,0,3,Duke Johnson middle for 4 yards (tackle by Corey White),5.290,6.060
1,5:32,1,5,BUF 5,0,3,Isaiah Crowell right guard for -2 yards (tackle by Preston Brown),6.060,4.760
1,4:54,2,7,BUF 7,0,3,Robert Griffin sacked by Zach Brown for -4 yards. Penalty on Austin Pasztor: Offensive Holding (Declined),4.760,0.000
1,4:29,,,,0,3,Timeout #1 by Cleveland Browns,0.000,-3.120
1,4:29,3,11,BUF 11,0,3,Robert Griffin sacked by Lorenzo Alexander and Kyle Williams for -6 yards,3.120,2.310
1,3:54,4,17,BUF 17,3,3,Cody Parkey 35 yard field goal good,2.310,3.000
1,3:50,,,CLE 35,3,3,"Cody Parkey kicks off 58 yards, returned by Brandon Tate for 19 yards (tackle by Joe Schobert)",0.000,-0.670
1,3:44,1,10,BUF 26,3,3,LeSean McCoy middle for 7 yards (tackle by Ibraheim Campbell and Jamie Collins),0.670,1.070
1,3:12,2,3,BUF 33,3,3,Tyrod Taylor pass complete short right to Sammy Watkins for 10 yards (tackle by Jamar Taylor),1.070,1.800
1,2:42,1,10,BUF 43,3,3,Tyrod Taylor pass incomplete short left intended for Sammy Watkins,1.800,1.250
1,2:37,2,10,BUF 43,3,3,LeSean McCoy right guard for 2 yards (tackle by Ed Reynolds),1.250,0.830
1,1:58,3,8,BUF 45,3,3,Tyrod Taylor pass complete short middle to Charles Clay for 13 yards (tackle by Jamie Collins),0.830,2.790
1,1:19,1,10,CLE 42,3,3,Brandon Tate left end for 30 yards (tackle by Demario Davis),2.790,4.780
1,0:37,1,10,CLE 12,3,3,LeSean McCoy right end for 9 yards (tackle by Cam Johnson),4.780,5.790
1,0:03,2,1,CLE 3,3,9,"Mike Gillislee left guard for 3 yards, touchdown",5.790,7.000
1,0:00,,,CLE 15,3,10,Dan Carpenter kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,BUF 35,3,10,"Dan Carpenter kicks off 57 yards, returned by Mario Alford for 16 yards (tackle by Lorenzo Alexander)",0.000,-0.540
2,14:55,1,10,CLE 24,3,10,Robert Griffin sacked by Jerry Hughes for -8 yards,0.540,-1.220
2,14:01,2,18,CLE 16,3,10,Duke Johnson right guard for -1 yards (tackle by Jerry Hughes and Preston Brown),-1.220,-2.250
2,13:25,3,19,CLE 15,3,10,Duke Johnson middle for 13 yards (tackle by Ronald Darby),-2.250,-1.500
2,12:46,4,6,CLE 28,3,10,"Britton Colquitt punts 53 yards, returned by Brandon Tate for 3 yards (tackle by Ed Reynolds)",-1.500,-0.410
2,12:34,1,10,BUF 22,3,10,LeSean McCoy left guard for no gain (tackle by Christian Kirksey),0.410,-0.130
2,12:00,2,10,BUF 22,3,10,Tyrod Taylor pass complete short left to Charles Clay for 4 yards (tackle by Christian Kirksey),-0.130,-0.290
2,11:18,3,6,BUF 26,3,10,LeSean McCoy left tackle for 8 yards (tackle by Cam Johnson),-0.290,1.200
2,10:43,1,10,BUF 34,3,10,Mike Gillislee middle for 4 yards (tackle by Danny Shelton and Jamie Meder),1.200,1.200
2,10:09,2,6,BUF 38,3,10,Tyrod Taylor pass incomplete short right intended for Marquise Goodwin,1.200,0.500
2,10:02,3,6,BUF 38,3,10,Tyrod Taylor pass incomplete short middle intended for Robert Woods (defended by Jamar Taylor),0.500,-0.850
2,9:58,4,6,BUF 38,3,10,"Colton Schmidt punts 42 yards, returned by Mario Alford for 12 yards (tackle by Garrison Sanborn)",-0.850,-1.070
2,9:45,1,10,CLE 32,3,10,Isaiah Crowell middle for 1 yard (tackle by Ramon Humber and Leger Douzable),1.070,0.660
2,9:06,2,9,CLE 33,3,10,Robert Griffin pass complete short right to Corey Coleman for 5 yards (tackle by Ronald Darby),0.660,0.630
2,8:22,3,4,CLE 38,3,10,Robert Griffin pass incomplete short left intended for Duke Johnson (defended by Zach Brown),0.630,-0.850
2,8:16,4,4,CLE 38,3,10,"Britton Colquitt punts 52 yards, returned by Brandon Tate for 8 yards (tackle by Joe Schobert). Penalty on Ronald Darby: Illegal Block Above the Waist, 8 yards",-0.850,0.380
2,8:03,1,10,BUF 9,3,10,LeSean McCoy right tackle for 18 yards (tackle by Joe Haden),-0.380,0.740
2,7:33,1,10,BUF 27,3,10,LeSean McCoy right tackle for 2 yards (tackle by Jamie Collins),0.740,0.470
2,6:52,2,8,BUF 29,3,10,Tyrod Taylor pass complete short left to Jerome Felton for 12 yards,0.470,1.660
2,6:16,1,10,BUF 41,3,10,Mike Gillislee left tackle for 2 yards (tackle by Ed Reynolds),1.660,1.390
2,5:37,2,8,BUF 43,3,10,Tyrod Taylor pass complete short right to Charles Clay for 13 yards (tackle by Demario Davis and Jamar Taylor),1.390,2.650
2,4:57,1,10,CLE 44,3,10,"Tyrod Taylor left end for 5 yards (tackle by Demario Davis). Penalty on Marquise Goodwin: Illegal Block Above the Waist, 10 yards (no play)",2.650,1.990
2,4:33,1,20,BUF 46,3,10,Tyrod Taylor sacked by Emmanuel Ogbah for -3 yards,1.990,0.350
2,3:53,2,23,BUF 43,3,10,Mike Gillislee middle for 1 yard (tackle by Jamie Collins and Christian Kirksey),0.350,-0.160
2,3:14,3,22,BUF 44,3,10,Tyrod Taylor pass complete deep middle to Marquise Goodwin for 23 yards (tackle by Christian Kirksey),-0.160,3.380
2,2:37,1,10,CLE 33,3,10,LeSean McCoy right tackle for 1 yard (tackle by Demario Davis),3.380,2.970
2,2:00,2,9,CLE 32,3,10,Tyrod Taylor pass complete short left to LeSean McCoy for 4 yards (tackle by Ibraheim Campbell),2.970,2.810
2,1:20,3,5,CLE 28,3,10,Tyrod Taylor pass complete short left to Marquise Goodwin for 9 yards (tackle by Briean Boddy-Calhoun),2.810,4.310
2,0:45,1,10,CLE 19,3,10,Tyrod Taylor pass incomplete short left intended for Sammy Watkins,4.310,3.750
2,0:40,2,10,CLE 19,3,16,"Tyrod Taylor pass complete deep left to Charles Clay for 19 yards, touchdown",3.750,7.000
2,0:34,,,CLE 15,3,17,Dan Carpenter kicks extra point good,0.000,0.000
2,0:34,,,BUF 35,3,17,"Dan Carpenter kicks off 61 yards, returned by Mario Alford for 13 yards (tackle by Ramon Humber)",0.000,0.060
2,0:24,1,10,CLE 17,3,17,Robert Griffin pass incomplete short left intended for Terrelle Pryor,-0.060,-0.580
2,0:20,2,10,CLE 17,3,17,Robert Griffin pass complete short middle to Duke Johnson for 11 yards (tackle by Zach Brown),-0.580,0.810
2,0:11,1,10,CLE 28,3,17,Robert Griffin pass complete short right to Duke Johnson for 7 yards (tackle by Nickell Robey-Coleman),0.810,0.000
2,0:03,,,,3,17,Timeout #2 by Cleveland Browns,0.000,-1.210
2,0:03,2,3,CLE 35,3,17,Robert Griffin pass incomplete deep right intended for Corey Coleman (defended by Kevon Seymour),1.210,0.500
Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,3,17,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,BUF 25,3,17,LeSean McCoy right tackle for 9 yards (tackle by Demario Davis and Ed Reynolds),0.610,1.280
3,14:23,2,1,BUF 34,3,17,LeSean McCoy right tackle for 2 yards (tackle by Demario Davis),1.280,1.330
3,13:42,1,10,BUF 36,3,17,Tyrod Taylor pass incomplete deep right intended for Nick O'Leary (defended by Cam Johnson),1.330,0.790
3,13:37,2,10,BUF 36,3,17,LeSean McCoy right end for 7 yards (tackle by Christian Kirksey),0.790,1.030
3,13:08,3,3,BUF 43,3,17,Tyrod Taylor pass incomplete short left intended for Sammy Watkins,1.030,-0.520
3,13:04,4,3,BUF 43,3,17,"Colton Schmidt punts 48 yards, returned by Mario Alford for 11 yards (tackle by Ramon Humber)",-0.520,-0.280
3,12:52,1,10,CLE 20,3,17,Robert Griffin pass complete short left to Terrelle Pryor for 8 yards (tackle by Stephon Gilmore),0.280,0.810
3,12:11,2,2,CLE 28,3,17,"Robert Griffin pass complete short right to Terrelle Pryor for 2 yards (tackle by Ronald Darby). Penalty on Shaq Lawson: Defensive Offside, 5 yards (no play)",0.810,1.140
3,11:47,1,10,CLE 33,3,17,Robert Griffin pass incomplete short right intended for Isaiah Crowell,1.140,0.590
3,11:42,2,10,CLE 33,3,17,Isaiah Crowell right guard for -1 yards (tackle by Kyle Williams),0.590,-0.230
3,11:01,3,11,CLE 32,3,17,Robert Griffin pass complete deep right to Andrew Hawkins for 33 yards (tackle by Corey White),-0.230,3.250
3,10:25,1,10,BUF 35,3,17,Duke Johnson left tackle for 13 yards (tackle by Corey Graham),3.250,4.110
3,9:49,1,10,BUF 22,3,17,Robert Griffin left end for 4 yards (tackle by Lorenzo Alexander),4.110,4.130
3,9:15,2,6,BUF 18,3,17,Robert Griffin pass incomplete short right intended for Terrelle Pryor,4.130,3.400
3,9:10,3,6,BUF 18,9,17,"Robert Griffin middle for 18 yards, touchdown",3.400,7.000
3,8:58,,,BUF 15,10,17,Cody Parkey kicks extra point good,0.000,0.000
3,8:58,,,CLE 35,10,17,"Cody Parkey kicks off 64 yards, returned by Brandon Tate for 24 yards (tackle by Cam Johnson)",0.000,-0.610
3,8:51,1,10,BUF 25,10,17,Tyrod Taylor pass complete short right to Robert Woods for 5 yards (tackle by Demario Davis),0.610,0.740
3,8:09,2,5,BUF 30,10,17,Tyrod Taylor pass complete short left to Charles Clay for 12 yards (tackle by Danny Shelton),0.740,1.730
3,7:30,1,10,BUF 42,10,17,Mike Gillislee middle for 3 yards (tackle by Christian Kirksey and Danny Shelton),1.730,1.590
3,6:57,2,7,BUF 45,10,17,"Tyrod Taylor pass complete short right to Charles Clay for 9 yards (tackle by Ibraheim Campbell). Penalty on Danny Shelton: Roughing the Passer, 15 yards",1.590,3.510
3,6:35,1,10,CLE 31,10,17,Tyrod Taylor right tackle for 28 yards (tackle by Ibraheim Campbell),3.510,6.510
3,5:53,1,3,CLE 3,10,23,"LeSean McCoy right guard for 3 yards, touchdown",6.510,7.000
3,5:50,,,CLE 15,10,24,Dan Carpenter kicks extra point good,0.000,0.000
3,5:50,,,BUF 35,10,24,"Dan Carpenter kicks off 56 yards, returned by Mario Alford for 24 yards (tackle by Brandon Tate)",0.000,-1.140
3,5:42,1,10,CLE 33,10,24,Robert Griffin right guard for 4 yards (tackle by Adolphus Washington),1.140,1.130
3,5:06,2,6,CLE 37,10,24,Robert Griffin left end for 7 yards (tackle by Zach Brown),1.130,1.860
3,4:27,1,10,CLE 44,10,24,Isaiah Crowell middle for 1 yard (tackle by Kyle Williams and Marcell Dareus),1.860,1.450
3,3:50,2,9,CLE 45,10,24,"Robert Griffin pass complete deep left to Gary Barnidge for 28 yards (tackle by Lorenzo Alexander). Penalty on Zach Brown: Roughing the Passer, 14 yards",1.450,4.710
3,3:19,1,10,BUF 13,10,24,"Robert Griffin left end for 11 yards (tackle by Zach Brown). Penalty on Joe Thomas: Offensive Holding, 11 yards (no play)",4.710,3.970
3,2:50,1,21,BUF 24,10,24,Robert Griffin pass incomplete short left intended for Isaiah Crowell,3.970,2.670
3,2:44,2,21,BUF 24,10,24,Isaiah Crowell right guard for -1 yards (tackle by Adolphus Washington),2.670,1.880
3,2:04,3,22,BUF 25,10,24,Robert Griffin right end for 3 yards (tackle by Zach Brown),1.880,1.990
3,1:35,4,19,BUF 22,13,24,Cody Parkey 40 yard field goal good,1.990,3.000
3,1:32,,,CLE 35,13,24,"Cody Parkey kicks off 59 yards, returned by Brandon Tate for 19 yards (tackle by Joe Schobert)",0.000,-0.610
3,1:25,1,10,BUF 25,13,24,Tyrod Taylor left end for 8 yards (tackle by Christian Kirksey),0.610,1.140
3,0:54,2,2,BUF 33,13,24,LeSean McCoy left tackle for 2 yards (tackle by Cam Johnson),1.140,1.270
3,0:29,1,10,BUF 35,13,24,Tyrod Taylor pass complete short right to LeSean McCoy for 14 yards (tackle by Ibraheim Campbell),1.270,2.190
Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BUF 49,13,24,Tyrod Taylor pass complete short left to Marquise Goodwin for 11 yards,2.190,2.920
4,14:36,1,10,CLE 40,13,24,LeSean McCoy left tackle for 4 yards (tackle by Gabe Wright),2.920,2.910
4,14:08,2,6,CLE 36,13,24,Tyrod Taylor left guard for 12 yards (tackle by Jamar Taylor),2.910,3.970
4,13:20,1,10,CLE 24,13,24,Tyrod Taylor pass complete short right to Justin Hunter for 16 yards,3.970,5.370
4,12:45,1,8,CLE 8,13,30,"LeSean McCoy right end for 8 yards, touchdown",5.370,7.000
4,12:38,,,CLE 15,13,30,Dan Carpenter kicks extra point no good,0.000,-1.000
4,12:38,,,BUF 35,13,30,"Dan Carpenter kicks off 49 yards, returned by Seth Devalve for 13 yards (tackle by Lorenzo Alexander)",0.000,-0.870
4,12:32,1,10,CLE 29,13,30,Robert Griffin pass incomplete short left intended for Gary Barnidge,0.870,0.330
4,12:25,2,10,CLE 29,13,30,Robert Griffin pass incomplete,0.330,0.000
4,12:16,,,,13,30,Timeout #1 by Cleveland Browns,0.000,0.360
4,12:16,3,10,CLE 29,13,30,Robert Griffin sacked by Kyle Williams for -9 yards,-0.360,-2.030
4,11:32,4,19,CLE 20,13,30,"Britton Colquitt punts 37 yards, returned by Brandon Tate for 7 yards (tackle by Ricardo Louis)",-2.030,-2.260
4,11:21,1,10,,13,30,LeSean McCoy left guard for 11 yards (tackle by Ed Reynolds),2.260,2.980
4,10:43,1,10,CLE 39,13,30,Tyrod Taylor right end for 2 yards (tackle by Cam Johnson),2.980,2.710
4,10:03,2,8,CLE 37,13,30,LeSean McCoy right tackle for 16 yards (tackle by Jamar Taylor and Demario Davis),2.710,4.170
4,9:29,1,10,CLE 21,13,30,Mike Gillislee right tackle for 6 yards (tackle by Christian Kirksey),4.170,4.550
4,8:44,2,4,CLE 15,13,30,Tyrod Taylor pass complete short left to Charles Clay for 2 yards (tackle by Ibraheim Campbell),4.550,4.240
4,8:03,3,2,CLE 13,13,30,Tyrod Taylor left end for -3 yards (tackle by Jamie Collins),4.240,2.430
4,7:25,4,5,CLE 16,13,33,Dan Carpenter 34 yard field goal good,2.430,3.000
4,7:21,,,BUF 35,13,33,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.610
4,7:21,1,10,CLE 25,13,33,Robert Griffin pass incomplete short middle intended for Terrelle Pryor,0.610,0.060
4,7:16,2,10,CLE 25,13,33,Robert Griffin sacked by Lorenzo Alexander for -7 yards. Penalty on Joe Thomas: Offensive Holding (Declined),0.060,-1.720
4,6:46,3,17,CLE 18,13,33,Robert Griffin left end for 6 yards (tackle by Jerry Hughes),-1.720,-1.770
4,6:13,4,11,CLE 24,13,33,"Britton Colquitt punts 35 yards, returned by Brandon Tate for 29 yards (tackle by Charley Hughlett)",-1.770,-3.580
4,6:00,1,10,CLE 30,13,33,Mike Gillislee right guard for 5 yards (tackle by Demario Davis),3.580,3.710
4,5:17,2,5,CLE 25,13,33,Mike Gillislee right tackle for 5 yards (tackle by Tank Carder),3.710,4.240
4,4:33,1,10,CLE 20,13,33,Mike Gillislee right end for 8 yards (tackle by Demario Davis),4.240,5.040
4,4:27,2,2,CLE 12,13,33,Jonathan Williams right tackle for 5 yards (tackle by Christian Kirksey and Jamie Meder),5.040,5.600
4,3:42,1,7,CLE 7,13,33,EJ Manuel left tackle for 1 yard (tackle by Carl Nassib and Tracy Howard),5.600,4.950
4,3:00,2,6,CLE 6,13,33,EJ Manuel pass incomplete short left intended for Justin Hunter (defended by Marcus Burley),4.950,4.040
4,2:56,3,6,CLE 6,13,33,Jonathan Williams middle for 5 yards (tackle by Joe Schobert and Ed Reynolds),4.040,3.550
4,2:11,4,1,CLE 1,13,33,Jonathan Williams right guard for no gain (tackle by Joe Schobert and Ibraheim Campbell),3.550,0.380
4,2:05,1,10,CLE 1,13,33,Robert Griffin pass complete short right to Dan Vitale for 17 yards (tackle by Stephon Gilmore),-0.380,0.040
4,1:57,1,10,CLE 18,13,33,Robert Griffin pass complete short middle to Duke Johnson for 9 yards (tackle by Zach Brown),0.040,0.820
4,1:34,2,1,CLE 27,13,33,Robert Griffin pass complete short middle to Terrelle Pryor for 3 yards (tackle by Nickell Robey-Coleman),0.820,0.940
4,1:27,1,10,CLE 30,13,33,Robert Griffin pass complete short middle to Gary Barnidge for 7 yards (tackle by Preston Brown and Zach Brown),0.940,1.340
4,1:04,2,3,CLE 37,13,33,Robert Griffin pass incomplete deep right intended for Terrelle Pryor,1.340,0.630
4,0:56,3,3,CLE 37,13,33,Duke Johnson middle for 2 yards (tackle by Lorenzo Alexander),0.630,-0.780
4,0:29,4,1,CLE 39,13,33,Robert Griffin right end for 6 yards (tackle by Corey Graham),-0.780,1.930
4,0:23,1,10,CLE 45,13,33,Robert Griffin pass complete short right to Seth Devalve for 6 yards (tackle by Zach Brown),1.930,2.190
4,0:00,2,4,BUF 49,13,33,"Robert Griffin pass complete short middle to Duke Johnson for 22 yards (tackle by Shaq Lawson). Duke Johnson fumbles (forced by Shaq Lawson), ball out of bounds at BUF-25",2.190,0.870
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
