Unnamed: 0,IND,TEN
First Downs,30,20
Rush-Yds-TDs,34-171-1,25-112-0
Cmp-Att-Yd-TD-INT,26-38-297-1-1,22-29-236-1-0
Sacked-Yards,2-11,2-9
Net Pass Yards,286,227
Total Yards,457,339
Fumbles-Lost,2-0,1-0
Turnovers,1,0
Penalties-Yards,5-45,8-65
Third Down Conv.,6-12,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,33:56,30:53
