Quarter,Time,Tm,Detail,IND,TEN
1,7:35,Titans,Rob Bironas 39 yard field goal,0,3
,1:06,Colts,Adam Vinatieri 20 yard field goal,3,3
2,1:00,Titans,Kendall Wright 23 yard pass from Matt Hasselbeck (Rob Bironas kick),3,10
3,10:20,Colts,Adam Vinatieri 44 yard field goal,6,10
4,10:26,Titans,Rob Bironas 30 yard field goal,6,13
,3:24,Colts,Delone Carter 1 yard rush (Adam Vinatieri kick),13,13
OT,10:11,Colts,Vick Ballard 16 yard pass from Andrew Luck,19,13
