Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,TEN 20,0,0,Chris Johnson right guard for 2 yards (tackle by Drake Nevis),0.280,0.000
1,14:21,2,8,TEN 22,0,0,Chris Johnson left guard for 3 yards (tackle by Tom Zbikowski),0.000,-0.300
1,13:42,3,5,TEN 25,0,0,Matt Hasselbeck pass complete short left to Jared Cook for 16 yards (tackle by Tom Zbikowski),-0.300,1.660
1,13:10,1,10,TEN 41,0,0,Matt Hasselbeck pass complete short left to Kenny Britt for 8 yards (tackle by Vontae Davis),1.660,2.200
1,12:36,2,2,TEN 49,0,0,Chris Johnson left end for 5 yards (tackle by Kavell Conner),2.200,2.520
1,12:09,1,10,IND 46,0,0,Chris Johnson left end for no gain (tackle by Jerrell Freeman),2.520,1.980
1,11:44,2,10,IND 46,0,0,Matt Hasselbeck pass complete short right to Kenny Britt for 17 yards (tackle by Antoine Bethea and Jerrell Freeman),1.980,3.640
1,11:09,1,10,IND 29,0,0,Matt Hasselbeck pass complete short left to Craig Stevens for 3 yards (tackle by Tom Zbikowski),3.640,3.510
1,10:33,2,7,IND 26,0,0,Chris Johnson up the middle for 9 yards (tackle by Antoine Bethea),3.510,4.440
1,9:56,1,10,IND 17,0,0,Jamie Harper right tackle for -1 yards (tackle by Kavell Conner),4.440,3.720
1,9:11,2,11,IND 18,0,0,"Penalty on Michael Otto: False Start, 5 yards (no play)",3.720,3.080
1,8:47,2,16,IND 23,0,0,Matt Hasselbeck sacked by Drake Nevis for -8 yards,3.080,1.360
1,8:26,3,24,IND 31,0,0,Matt Hasselbeck pass complete short middle to Nate Washington for 10 yards (tackle by Justin Hickman and Antoine Bethea),1.360,2.060
1,7:40,4,14,IND 21,0,3,Rob Bironas 39 yard field goal good,2.060,3.000
1,7:35,,,TEN 35,0,3,"Rob Bironas kicks off 55 yards, muffed catch by Cassius Vaughn, recovered by Cassius Vaughn and returned for no gain",0.000,-0.220
1,7:32,1,10,IND 15,0,3,Andrew Luck pass complete short right to Dwayne Allen for 20 yards (tackle by Colin McCarthy),-0.220,1.270
1,6:54,1,10,IND 35,0,3,"Andrew Luck pass complete short left to Dwayne Allen for 16 yards (tackle by Michael Griffin). Dwayne Allen fumbles (forced by Michael Griffin), ball out of bounds at TEN-48",1.270,2.390
1,6:04,1,10,TEN 48,0,3,Vick Ballard left tackle for 3 yards (tackle by Akeem Ayers),2.390,2.250
1,5:23,2,7,TEN 45,0,3,Andrew Luck right end for 8 yards (tackle by Akeem Ayers),2.250,3.120
1,4:53,1,10,TEN 37,0,3,Vick Ballard right tackle for 7 yards (tackle by Akeem Ayers and Jordan Babineaux),3.120,3.520
1,4:28,2,3,TEN 30,0,3,Andrew Luck pass complete short left to T.Y. Hilton for 6 yards (tackle by Alterraun Verner),3.520,3.970
1,4:02,1,10,TEN 24,0,3,Andrew Luck right tackle for 9 yards (tackle by Jason McCourty),3.970,4.850
1,3:19,2,1,TEN 15,0,3,Vick Ballard left guard for 8 yards (tackle by Jordan Babineaux and Michael Griffin),4.850,5.600
1,2:38,1,7,TEN 7,0,3,Vick Ballard left tackle for 3 yards (tackle by Akeem Ayers and Jordan Babineaux),5.600,5.340
1,1:56,2,4,TEN 4,0,3,Andrew Luck pass incomplete short right intended for Reggie Wayne (defended by Jason McCourty),5.340,4.490
1,1:52,3,4,TEN 4,0,3,Andrew Luck up the middle for 2 yards (tackle by Kamerion Wimbley),4.490,3.250
1,1:10,4,2,TEN 2,3,3,Adam Vinatieri 20 yard field goal good,3.250,3.000
1,1:06,,,IND 35,3,3,"Pat McAfee kicks off 65 yards, touchback",0.000,0.280
1,1:06,1,10,TEN 20,3,3,Matt Hasselbeck pass incomplete short right intended for Craig Stevens,0.280,-0.270
1,1:03,2,10,TEN 20,3,3,Chris Johnson right tackle for 5 yards (tackle by Kavell Conner and Jerraud Powers),-0.270,-0.300
1,0:18,3,5,TEN 25,3,3,Matt Hasselbeck pass complete short middle to Nate Washington for 9 yards (tackle by Jerraud Powers and Josh Gordy),-0.300,1.200
Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 34,3,3,"Matt Hasselbeck pass complete deep left to Kenny Britt for 43 yards. Penalty on Kenny Britt: Offensive Pass Interference, 10 yards (no play)",1.200,0.540
2,14:52,1,20,TEN 24,3,3,Chris Johnson up the middle for 6 yards (tackle by Jerrell Freeman),0.540,0.120
2,14:07,2,14,TEN 30,3,3,"Penalty on Kevin Matthews: False Start, 5 yards (no play)",0.120,-0.560
2,13:44,2,19,TEN 25,3,3,Matt Hasselbeck pass incomplete short right intended for Kenny Britt,-0.560,-1.220
2,13:37,3,19,TEN 25,3,3,Matt Hasselbeck pass complete short right to Chris Johnson for 7 yards (tackle by Jerrell Freeman),-1.220,-1.240
2,12:58,4,12,TEN 32,3,3,"Brett Kern punts 61 yards, returned by T.Y. Hilton for 13 yards (tackle by Coty Sensabaugh)",-1.240,-0.280
2,12:46,1,10,IND 20,3,3,Andrew Luck pass incomplete short right intended for Reggie Wayne (defended by Derrick Morgan),0.280,-0.270
2,12:42,2,10,IND 20,3,3,Andrew Luck pass complete short right to Reggie Wayne for 13 yards (tackle by Ryan Mouton),-0.270,1.140
2,12:09,1,10,IND 33,3,3,"Vick Ballard up the middle for 11 yards (tackle by Michael Griffin). Vick Ballard fumbles (forced by Michael Griffin), recovered by Kamerion Wimbley at IND-45. Penalty on Markelle Martin: Defensive Offside, 5 yards (no play)",1.140,1.870
2,11:44,1,5,IND 38,3,3,Andrew Luck pass complete short left to T.Y. Hilton for -2 yards (tackle by Alterraun Verner),1.870,1.000
2,11:09,2,7,IND 36,3,3,Donald Brown right tackle for -1 yards (tackle by Colin McCarthy),1.000,0.170
2,10:27,3,8,IND 35,3,3,Andrew Luck pass complete short left to Donnie Avery for 10 yards (tackle by Ryan Mouton),0.170,1.930
2,9:55,1,10,IND 45,3,3,Andrew Luck pass complete short left to Reggie Wayne for no gain,1.930,1.380
2,9:28,2,10,IND 45,3,3,Andrew Luck pass incomplete short right intended for T.Y. Hilton (defended by Jason McCourty),1.380,0.700
2,9:23,3,10,IND 45,3,3,Andrew Luck pass complete short right to Coby Fleener for 15 yards (tackle by Ryan Mouton),0.700,2.920
2,8:54,1,10,TEN 40,3,3,Donald Brown right guard for 7 yards (tackle by Michael Griffin),2.920,3.320
2,8:21,2,3,TEN 33,3,3,"Donald Brown right guard for -3 yards (tackle by Zach Brown). Penalty on Donnie Avery: Personal Foul, 15 yards (no play)",3.320,1.290
2,7:52,2,18,TEN 48,3,3,Andrew Luck pass incomplete short left intended for Dwayne Allen (defended by Akeem Ayers),1.290,0.630
2,7:48,3,18,TEN 48,3,3,Andrew Luck pass incomplete short right intended for Donnie Avery,0.630,0.070
2,7:41,4,18,TEN 48,3,3,"Pat McAfee punts 39 yards, returned by Darius Reynaud for 19 yards (tackle by Dwayne Allen)",0.070,-0.810
2,7:28,1,10,TEN 28,3,3,"Matt Hasselbeck pass incomplete deep left intended for Kendall Wright. Penalty on Kendall Wright: Offensive Pass Interference, 10 yards (no play)",0.810,-0.040
2,7:22,1,20,TEN 18,3,3,Chris Johnson left guard for 3 yards (tackle by Antoine Bethea and Jerrell Freeman),-0.040,-0.680
2,6:46,2,17,TEN 21,3,3,Matt Hasselbeck pass complete short right to Craig Stevens for 12 yards (tackle by Antoine Bethea),-0.680,0.230
2,6:06,3,5,TEN 33,3,3,"Penalty on IND: Encroachment, 5 yards (no play)",0.230,1.470
2,5:42,1,10,TEN 38,3,3,Matt Hasselbeck pass complete short left to Quinn Johnson for 1 yard (tackle by Tom Zbikowski),1.470,1.060
2,5:06,2,9,TEN 39,3,3,Chris Johnson left tackle for 4 yards (tackle by Antoine Bethea),1.060,0.890
2,4:23,3,5,TEN 43,3,3,Matt Hasselbeck pass complete short right to Kendall Wright for 7 yards (tackle by Jerraud Powers). Penalty on Cassius Vaughn: Defensive Holding (Declined),0.890,2.260
2,3:52,1,10,,3,3,"Matt Hasselbeck for 10 yards (tackle by Jerrell Freeman). Penalty on Jerraud Powers: Illegal Contact, 5 yards",2.260,3.250
2,3:23,1,10,IND 35,3,3,Chris Johnson right tackle for 4 yards (tackle by Jerraud Powers and Antonio Johnson),3.250,3.240
2,2:53,2,6,IND 31,3,3,Darius Reynaud left end for 4 yards (tackle by Pat Angerer),3.240,3.070
2,2:14,3,2,IND 27,3,3,Matt Hasselbeck pass complete short right to Nate Washington for 5 yards (tackle by Cassius Vaughn),3.070,4.110
2,2:00,1,10,IND 22,3,3,"Matt Hasselbeck pass complete deep right to Kenny Britt for 22 yards. Penalty on Kenny Britt: Offensive Pass Interference, 10 yards (no play)",4.110,3.450
2,1:55,1,20,IND 32,3,3,Matt Hasselbeck pass incomplete deep left intended for Nate Washington,3.450,2.210
2,1:49,2,20,IND 32,3,3,Matt Hasselbeck pass complete short left to Kenny Britt for 9 yards (tackle by Jerrell Freeman),2.210,2.740
