Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,--,0.000,2.980
1,14:48,1,10,MIN 39,0,0,Deuce McAllister right end for 13 yards (tackle by Tyrone Carter),2.980,3.840
1,14:05,1,10,MIN 26,0,0,Deuce McAllister left tackle for no gain (tackle by Fred Robbins),3.840,3.300
1,13:26,2,10,MIN 26,0,0,Deuce McAllister right end for no gain (tackle by Henri Crockett),3.300,2.610
1,12:41,3,10,MIN 26,0,0,Aaron Brooks right end for 4 yards (tackle by Greg Biekert and Brian Williams),2.610,2.020
1,11:55,4,6,MIN 22,0,3,John Carney 40 yard field goal good,2.020,3.000
1,11:55,,,NOR 30,0,3,"Toby Gowin kicks off 64 yards, returned by Tyrone Carter for 25 yards (tackle by James Allen)",0.000,1.000
1,11:44,1,10,MIN 31,0,3,Randy Moss left end for 25 yards (tackle by Jay Bellamy),1.000,2.650
1,11:04,1,10,NOR 44,0,3,Michael Bennett left guard for 1 yard (tackle by Willie Whitehead),2.650,2.250
1,10:28,2,9,NOR 43,0,3,Daunte Culpepper middle for 18 yards (tackle by Darrin Smith),2.250,3.910
1,9:47,1,10,NOR 25,0,3,Michael Bennett left tackle for 16 yards (tackle by Sammy Knight),3.910,5.140
1,9:47,1,9,NOR 9,0,3,Michael Bennett right end for 5 yards (tackle by Sedrick Hodge),5.140,5.340
1,8:25,2,4,NOR 4,6,3,"Daunte Culpepper middle for 4 yards, touchdown",5.340,7.000
1,8:25,,,NOR 4,7,3,Gary Anderson kicks extra point good,0.000,0.000
1,8:25,,,MIN 30,7,3,"Hayden Epstein kicks off 65 yards, returned by Michael Lewis for 30 yards (tackle by Hayden Epstein)",0.000,1.270
1,8:15,1,10,NOR 35,7,3,Aaron Brooks sacked by Chris Hovan for -13 yards,1.270,-1.030
1,7:49,2,23,NOR 22,7,3,Aaron Brooks sacked by Corey Chavous for -6 yards,-1.030,-3.060
1,7:27,3,29,NOR 16,7,3,Deuce McAllister left guard for 5 yards (tackle by Chris Hovan),-3.060,-1.960
