Unnamed: 0,MIN,NOR
First Downs,22,18
Rush-Yds-TDs,25-146-2,22-78-0
Cmp-Att-Yd-TD-INT,26-36-312-2-0,21-33-255-2-0
Sacked-Yards,3-19,4-34
Net Pass Yards,293,221
Total Yards,439,299
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,8-73,8-53
Third Down Conv.,8-14,7-14
Fourth Down Conv.,0-0,1-1
Time of Possession,31:21,28:39
