Quarter,Time,Down,ToGo,Location,NWE,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,PIT 25,0,0,Landry Jones pass complete short left to Antonio Brown for 3 yards (tackle by Patrick Chung),0.610,0.470
1,14:19,2,7,PIT 28,0,0,"Le'Veon Bell middle for no gain (tackle by Alan Branch). Le'Veon Bell fumbles (forced by Alan Branch), recovered by Le'Veon Bell at PIT-28",0.470,-0.230
1,13:36,3,7,PIT 28,0,0,Landry Jones pass complete short middle to Xavier Grimble for 5 yards (tackle by Patrick Chung),-0.230,-1.180
1,13:02,4,2,PIT 33,0,0,"Jordan Berry punts 45 yards, returned by Julian Edelman for 10 yards (tackle by Tyler Matakevich)",-1.180,-1.070
1,12:51,1,10,NWE 32,0,0,"Tom Brady pass complete short left to Chris Hogan for 12 yards (tackle by Jarvis Jones). Chris Hogan fumbles (forced by Jarvis Jones), recovered by Jarvis Jones at NWE-45 (tackle by Chris Hogan)",1.070,-2.590
1,12:42,1,10,NWE 45,0,0,Landry Jones pass complete deep middle to Antonio Brown for 25 yards (tackle by Malcolm Butler and Devin McCourty),2.590,4.240
1,12:02,1,10,NWE 20,0,0,"Penalty on Chris Hubbard: False Start, 5 yards (no play)",4.240,3.910
1,11:42,1,15,NWE 25,0,0,Le'Veon Bell middle for 6 yards (tackle by Malcom Brown and Rob Ninkovich),3.910,3.820
1,11:07,2,9,NWE 19,0,0,Le'Veon Bell right guard for 3 yards (tackle by Jamie Collins and Rob Ninkovich),3.820,3.520
1,10:24,3,6,NWE 16,0,0,Landry Jones pass incomplete deep right intended for Antonio Brown is intercepted by Malcolm Butler at NWE--6,3.520,-0.280
1,10:18,1,10,NWE 20,0,0,Tom Brady pass complete short middle to Julian Edelman for 9 yards (tackle by Vince Williams),0.280,0.950
1,9:41,2,1,NWE 29,0,0,Tom Brady middle for 2 yards (tackle by Javon Hargrave),0.950,1.000
