Quarter,Time,Tm,Detail,HOU,JAX
1.0,9:25,Texans,Shayne Graham 31 yard field goal,3,0
,0:15,Texans,Arian Foster 1 yard rush (Shayne Graham kick),10,0
2.0,6:49,Texans,Ben Tate 8 yard rush (Shayne Graham kick),17,0
3.0,11:44,Jaguars,Maurice Jones-Drew 5 yard pass from Blaine Gabbert (Josh Scobee kick),17,7
,2:30,Texans,Ben Tate 2 yard rush (Shayne Graham kick),24,7
4.0,7:20,Texans,Shayne Graham 37 yard field goal,27,7
