Unnamed: 0,HOU,JAX
First Downs,28,9
Rush-Yds-TDs,48-216-3,14-65-0
Cmp-Att-Yd-TD-INT,26-35-195-0-0,9-21-76-1-0
Sacked-Yards,0-0,3-24
Net Pass Yards,195,52
Total Yards,411,117
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,10-64,8-71
Third Down Conv.,8-17,0-9
Fourth Down Conv.,1-1,0-0
Time of Possession,43:17,16:43
