Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,IND 30,0,6,"Pat McAfee kicks off 69 yards, returned by Jacoby Ford for 99 yards, touchdown",0.000,7.000
1,,,,IND 2,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,0,7,"Sebastian Janikowski kicks off 73 yards, touchback",0.000,0.280
1,14:48,1,10,IND 20,0,7,Peyton Manning pass incomplete deep middle intended for Jacob Tamme,0.280,-0.270
1,14:43,2,10,IND 20,0,7,Donald Brown middle for 5 yards (tackle by Tyvon Branch),-0.270,-0.300
1,14:06,3,5,IND 25,0,7,Peyton Manning pass incomplete short left intended for Blair White (defended by Nnamdi Asomugha),-0.300,-1.700
1,14:02,4,5,IND 25,0,7,"Pat McAfee punts 46 yards, fair catch by Nick Miller",-1.700,-0.870
1,13:55,1,10,OAK 29,0,7,Darren McFadden left tackle for 2 yards (tackle by Antonio Johnson),0.870,0.600
1,13:17,2,8,OAK 31,0,7,Darren McFadden middle for 4 yards (tackle by Kavell Conner),0.600,0.430
1,12:36,3,4,OAK 35,0,7,Jason Campbell pass incomplete short right intended for Zach Miller,0.430,-1.040
1,12:30,4,4,OAK 35,0,7,"Shane Lechler punts 40 yards, returned by Blair White for 4 yards (tackle by Stevie Brown)",-1.040,-0.870
1,12:22,1,10,IND 29,0,7,Peyton Manning pass incomplete short middle intended for Pierre Garcon,0.870,0.330
1,12:19,2,10,IND 29,0,7,Donald Brown left end for 12 yards (tackle by Michael Huff),0.330,1.660
1,11:47,1,10,IND 41,0,7,Donald Brown right tackle for no gain (tackle by Lamarr Houston),1.660,1.120
1,11:08,2,10,IND 41,0,7,Donald Brown middle for 6 yards (tackle by Michael Mitchell and Tommy Kelly),1.120,1.220
1,10:27,3,4,IND 47,0,7,Donald Brown left guard for 1 yard (tackle by John Henderson),1.220,-0.190
1,9:51,4,3,IND 48,0,7,"Pat McAfee punts 43 yards, fair catch by Nick Miller",-0.190,0.380
1,9:43,1,10,OAK 9,0,7,Darren McFadden right end for -4 yards (tackle by Fili Moala and Pat Angerer),-0.380,-1.070
1,9:03,2,14,OAK 5,0,7,Jason Campbell right end for 5 yards (tackle by Jacob Lacey),-1.070,-1.300
1,8:28,3,9,OAK 10,0,7,Jason Campbell pass incomplete short right intended for Darren McFadden,-1.300,-2.490
1,8:24,4,9,OAK 10,0,7,"Shane Lechler punts 47 yards, fair catch by Blair White",-2.490,-1.800
1,8:16,1,10,IND 43,0,7,Peyton Manning pass complete short left to Jacob Tamme for 14 yards (tackle by Michael Mitchell),1.800,2.720
1,7:57,1,10,OAK 43,0,7,Joseph Addai middle for 3 yards (tackle by John Henderson),2.720,2.580
1,7:22,2,7,OAK 40,0,7,Peyton Manning pass incomplete deep right intended for Pierre Garcon (defended by Chris Johnson),2.580,1.880
1,7:17,3,7,OAK 40,0,7,Peyton Manning pass complete short left to Reggie Wayne for 15 yards (tackle by Nnamdi Asomugha),1.880,3.910
1,6:38,1,10,OAK 25,0,7,Peyton Manning pass complete short middle to Pierre Garcon for 19 yards (tackle by Tyvon Branch),3.910,5.830
1,6:04,1,6,OAK 6,6,7,"Joseph Addai right guard for 6 yards, touchdown",5.830,7.000
1,,,,OAK 2,7,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,7,7,"Pat McAfee kicks off 70 yards, returned by Jacoby Ford for 17 yards (tackle by Philip Wheeler)",0.000,-0.060
1,5:55,1,10,OAK 17,7,7,Jason Campbell pass complete short left to Darren McFadden for 1 yard (tackle by Antonio Johnson),-0.060,-0.420
1,5:12,2,9,OAK 18,7,7,Jason Campbell pass incomplete short left intended for Darrius Heyward-Bey,-0.420,-1.130
1,5:09,3,9,OAK 18,7,7,Jason Campbell pass incomplete short middle intended for Darren McFadden,-1.130,-2.240
1,5:05,4,9,OAK 18,7,7,"Shane Lechler punts 55 yards, returned by Blair White for 11 yards (tackle by Hiram Eugene)",-2.240,-1.470
1,4:53,1,10,IND 38,7,7,Peyton Manning pass complete short left to Jacob Tamme for 10 yards (tackle by Stanford Routt),1.470,2.130
1,4:25,1,10,IND 48,7,7,Dominic Rhodes right tackle for 9 yards (tackle by Chris Johnson),2.130,2.800
1,3:46,2,1,OAK 43,7,7,Dominic Rhodes left guard for 2 yards (tackle by John Henderson),2.800,2.850
1,3:31,1,10,OAK 41,7,7,Pierre Garcon right end for -5 yards (tackle by Tommy Kelly),2.850,1.630
