Unnamed: 0,IND,OAK
First Downs,27,16
Rush-Yds-TDs,39-191-1,20-80-0
Cmp-Att-Yd-TD-INT,16-30-179-3-2,29-42-231-1-0
Sacked-Yards,0-0,3-21
Net Pass Yards,179,210
Total Yards,370,290
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,4-42,10-116
Third Down Conv.,4-11,4-15
Fourth Down Conv.,0-0,0-1
Time of Possession,29:59,30:01
