Unnamed: 0,SEA,SFO
First Downs,13,19
Rush-Yds-TDs,23-86-1,33-163-0
Cmp-Att-Yd-TD-INT,15-25-199-1-1,15-29-175-1-1
Sacked-Yards,2-21,2-20
Net Pass Yards,178,155
Total Yards,264,318
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,9-85,7-70
Third Down Conv.,5-12,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:32,32:28
