Quarter,Time,Tm,Detail,DAL,NOR
1.0,0:59,Cowboys,Michael Gallup 1 yard pass from Dak Prescott (Greg Zuerlein kick),7,0
2.0,12:54,Saints,Lil'Jordan Humphrey 24 yard pass from Taysom Hill (Brett Maher kick),7,7
,9:04,Cowboys,Greg Zuerlein 55 yard field goal,10,7
,0:00,Cowboys,Greg Zuerlein 34 yard field goal,13,7
3.0,8:26,Saints,Brett Maher 42 yard field goal,13,10
,3:55,Cowboys,Tony Pollard 58 yard rush (Greg Zuerlein kick),20,10
4.0,2:52,Cowboys,Carlos Watkins 29 yard interception return (Greg Zuerlein kick),27,10
,2:32,Saints,Deonte Harty 70 yard pass from Taysom Hill (Brett Maher kick),27,17
