Unnamed: 0,DAL,NOR
First Downs,17,17
Rush-Yds-TDs,24-146-1,26-153-0
Cmp-Att-Yd-TD-INT,26-40-238-1-1,19-41-264-2-4
Sacked-Yards,1-7,2-12
Net Pass Yards,231,252
Total Yards,377,405
Fumbles-Lost,0-0,1-0
Turnovers,1,4
Penalties-Yards,5-35,7-59
Third Down Conv.,2-13,5-14
Fourth Down Conv.,0-1,1-1
Time of Possession,28:06,31:54
