Quarter,Time,Down,ToGo,Location,NYJ,GNB,Detail,EPB,EPA
1,2:03,2,5,NYJ 22,10,0,Chad Pennington pass complete short middle to Chris Baker for 22 yards (tackle by Marquand Manuel and Nick Barnett),0.210,1.860
1,1:20,1,10,NYJ 44,10,0,Chad Pennington pass complete deep middle to Jerricho Cotchery for 21 yards (tackle by Marquand Manuel and Mike Montgomery),1.860,3.250
1,0:41,1,10,GNB 35,10,0,Cedric Houston left tackle for 8 yards (tackle by Aaron Kampman),3.250,3.780
Quarter,Time,Down,ToGo,Location,NYJ,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,GNB 27,10,0,Cedric Houston middle for 9 yards (tackle by A.J. Hawk and Nick Collins),3.780,4.370
2,14:16,1,10,GNB 18,10,0,Chad Pennington pass complete short middle to Laveranues Coles for 9 yards (tackle by Nick Collins),4.370,5.420
2,13:34,2,1,GNB 9,10,0,Chad Pennington pass incomplete short left intended for Laveranues Coles,5.420,4.740
2,13:28,3,1,GNB 9,10,0,Chad Pennington pass complete short middle to Jerricho Cotchery for 6 yards (tackle by Charles Woodson),4.740,6.510
2,12:44,1,3,GNB 3,16,0,"Cedric Houston right guard for 3 yards, touchdown",6.510,7.000
2,,,,GNB 2,17,0,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,17,0,"Mike Nugent kicks off 65 yards, returned by Vernand Morency for 23 yards (tackle by Cody Spencer)",0.000,0.810
2,12:35,1,10,GNB 28,17,0,Ahman Green left end for 11 yards (tackle by Erik Coleman and Brad Kassell),0.810,1.530
2,12:02,1,10,GNB 39,17,0,Ahman Green right guard for 35 yards (tackle by Erik Coleman),1.530,3.840
2,11:35,1,10,NYJ 26,17,0,Vernand Morency right guard for 1 yard (tackle by Jonathan Vilma and Bobby Hamilton),3.840,3.430
2,10:59,2,9,NYJ 25,17,0,Vernand Morency left tackle for 3 yards (tackle by Shaun Ellis and Dewayne Robertson),3.430,3.140
2,10:16,3,6,NYJ 22,17,0,Brett Favre pass incomplete deep right intended for Greg Jennings,3.140,2.020
2,10:11,4,6,NYJ 22,17,0,Dave Rayner 40 yard field goal no good,2.020,-0.940
2,10:07,1,10,NYJ 30,17,0,Chad Pennington pass complete short right to Leon Washington for 13 yards (tackle by A.J. Hawk),0.940,1.800
2,9:32,1,10,NYJ 43,17,0,Cedric Houston right guard for 3 yards (tackle by A.J. Hawk and Charles Woodson),1.800,1.660
2,8:50,2,7,NYJ 46,17,0,Brad Smith for 32 yards (tackle by Al Harris),1.660,4.110
2,8:32,1,10,GNB 22,17,0,Cedric Houston right guard for 3 yards (tackle by Aaron Kampman),4.110,3.970
2,7:51,2,7,GNB 19,17,0,"Chad Pennington pass incomplete short middle intended for Laveranues Coles (defended by Nick Barnett). Penalty on Mike Montgomery: Defensive Offside, 5 yards (no play)",3.970,4.850
2,7:48,2,2,GNB 14,17,0,Cedric Houston right guard for 8 yards (tackle by Nick Barnett),4.850,5.830
2,7:24,1,6,GNB 6,17,0,Cedric Houston right end for 1 yard (tackle by Cullen Jenkins),5.830,5.150
2,6:45,2,5,GNB 5,17,0,Chad Pennington pass incomplete short left intended for Laveranues Coles (defended by Al Harris),5.150,4.260
2,6:40,3,5,GNB 5,17,0,"Chad Pennington pass incomplete short right intended for Jerricho Cotchery (defended by Nick Barnett). Penalty on Nick Barnett: Defensive Pass Interfere, 4 yards (no play)",4.260,6.970
2,6:36,1,1,GNB 1,23,0,"Cedric Houston right guard for 1 yard, touchdown",6.970,7.000
2,,,,GNB 2,24,0,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,24,0,"Mike Nugent kicks off 50 yards, returned by William Henderson for 9 yards (tackle by Cody Spencer)",0.000,0.870
2,6:12,1,10,GNB 29,24,0,Brett Favre pass incomplete short right intended for William Henderson,0.870,0.330
2,6:06,2,10,GNB 29,24,0,Brett Favre pass incomplete short middle intended for Bubba Franks (defended by Kerry Rhodes),0.330,-0.360
2,6:02,3,10,GNB 29,24,0,Brett Favre pass complete short left to Ahman Green for 9 yards (tackle by Victor Hobson and Eric Smith),-0.360,-0.850
2,5:39,4,1,GNB 38,24,0,Ahman Green left tackle for 2 yards (tackle by Matt Chatham and Erik Coleman),-0.850,1.600
2,5:07,1,10,GNB 40,24,0,Brett Favre pass incomplete deep right intended for Donald Driver is intercepted by Andre Dyson at NYJ-23,1.600,-0.480
2,5:00,1,10,NYJ 23,24,0,Cedric Houston right tackle for 4 yards (tackle by Nick Barnett and Marquand Manuel),0.480,0.470
2,4:22,2,6,NYJ 27,24,0,"Chad Pennington pass complete deep right to Laveranues Coles for 12 yards (tackle by Nick Collins). Laveranues Coles fumbles (forced by Nick Collins), recovered by Jerricho Cotchery at NYJ-39",0.470,1.530
2,3:37,1,10,NYJ 39,24,0,Cedric Houston right guard for 1 yard (tackle by A.J. Hawk),1.530,1.120
2,2:56,2,9,NYJ 40,24,0,Chad Pennington pass complete short left to Cedric Houston for 5 yards (tackle by Nick Barnett),1.120,1.090
2,2:17,3,4,NYJ 45,24,0,Chad Pennington pass complete short right to Jerricho Cotchery for 5 yards (tackle by Aaron Kampman and Nick Collins),1.090,2.260
2,2:00,1,10,GNB 50,24,0,Chad Pennington pass complete short middle to Jerricho Cotchery for 6 yards (tackle by Charles Woodson),2.260,2.520
2,1:32,2,4,GNB 44,24,0,Chad Pennington pass complete short middle to Chris Baker for 15 yards (tackle by Patrick Dendy and Ryan Pickett),2.520,3.640
2,1:01,1,10,GNB 29,24,0,Chad Pennington pass complete short left to Jerricho Cotchery for 5 yards (tackle by Nick Collins),3.640,3.780
2,0:57,2,5,GNB 24,24,0,Leon Washington right tackle for 7 yards (tackle by Kabeer Gbaja-Biamila),3.780,4.440
2,0:50,,,,24,0,Timeout #1 by New York Jets,0.000,4.440
2,0:49,1,10,GNB 17,24,0,Chad Pennington pass complete short middle to Jerricho Cotchery for 13 yards (tackle by Charles Woodson and Nick Barnett),4.440,6.280
2,0:42,,,,24,0,Timeout #2 by New York Jets,0.000,6.280
2,0:42,1,4,GNB 4,24,0,Cedric Houston right tackle for 3 yards (tackle by Marquand Manuel),6.280,5.910
2,0:18,2,1,GNB 1,24,0,Cedric Houston right guard for no gain (tackle by A.J. Hawk),5.910,5.170
2,0:13,,,,24,0,Timeout #3 by New York Jets,0.000,5.170
2,0:13,3,1,GNB 1,30,0,"Chad Pennington pass complete short right to Chris Baker for 1 yard, touchdown",5.170,7.000
2,,,,GNB 2,31,0,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,31,0,"Mike Nugent kicks off 62 yards, returned by Noah Herron for 15 yards (tackle by Cody Spencer)",0.000,0.480
2,0:04,1,10,GNB 23,31,0,"Brett Favre pass complete short left to Noah Herron for 13 yards, lateral to Donald Driver for -3 yards (tackle by Justin Miller)",0.480,1.330
Quarter,Time,Down,ToGo,Location,NYJ,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,31,0,"Mike Nugent kicks off 48 yards, returned by William Henderson for 12 yards (tackle by Cody Spencer)",0.000,1.200
3,14:56,1,10,GNB 34,31,0,Brett Favre pass incomplete short right intended for Greg Jennings,1.200,0.660
3,14:50,2,10,GNB 34,31,0,Ahman Green right tackle for 12 yards (tackle by Erik Coleman and Hank Poteat),0.660,1.990
3,14:22,1,10,GNB 46,31,0,Ahman Green left end for 4 yards (tackle by Victor Hobson and Eric Barton),1.990,1.990
3,13:51,2,6,GNB 50,31,0,Ahman Green right tackle for 5 yards (tackle by Jonathan Vilma and Andre Dyson),1.990,1.950
3,13:13,3,1,NYJ 45,31,0,Vernand Morency right end for 2 yards (tackle by Erik Coleman),1.950,2.720
3,12:48,1,10,NYJ 43,31,0,Vernand Morency middle for 2 yards (tackle by Shaun Ellis),2.720,2.450
3,12:11,2,8,NYJ 41,31,0,Brett Favre pass complete short left to Greg Jennings for 7 yards (tackle by Victor Hobson and David Barrett),2.450,2.680
3,11:32,3,1,NYJ 34,31,0,Brett Favre pass incomplete short right intended for Brandon Miree (defended by Jonathan Vilma),2.680,1.100
3,11:26,4,1,NYJ 34,31,0,Ahman Green left tackle for 2 yards (tackle by Shaun Ellis and Rashad Moore),1.100,3.450
3,10:40,1,10,NYJ 32,31,0,Brett Favre pass complete short left to Vernand Morency for 11 yards (tackle by Kerry Rhodes and David Barrett),3.450,4.170
3,9:59,1,10,NYJ 21,31,0,Vernand Morency right guard for 3 yards (tackle by Victor Hobson),4.170,4.040
3,9:17,2,7,NYJ 18,31,0,Brett Favre pass incomplete short right intended for Donald Driver,4.040,3.310
3,9:14,3,7,NYJ 18,31,0,Brett Favre pass complete short right to Noah Herron for 2 yards (tackle by Justin Miller and Victor Hobson),3.310,2.430
3,8:36,4,5,NYJ 16,31,3,Dave Rayner 34 yard field goal good,2.430,3.000
3,,,,GNB 30,31,3,"Dave Rayner kicks off 68 yards, returned by Justin Miller for 45 yards (tackle by Dave Rayner)",0.000,2.060
3,8:25,1,10,NYJ 47,31,3,Chad Pennington pass incomplete deep right intended for Justin McCareins is intercepted by Charles Woodson at GNB-13,2.060,0.320
3,8:18,1,10,GNB 13,31,3,Brett Favre pass complete short right to Ahman Green for 17 yards (tackle by Hank Poteat),-0.320,0.940
3,7:38,1,10,GNB 30,31,3,Ahman Green right tackle for 2 yards (tackle by Victor Hobson and Shaun Ellis),0.940,0.660
3,6:55,2,8,GNB 32,31,3,Brett Favre pass complete short right to Donald Driver for 10 yards (tackle by Hank Poteat),0.660,1.730
3,6:28,1,10,GNB 42,31,3,Brett Favre pass incomplete deep right intended for Donald Driver (defended by Hank Poteat),1.730,1.190
3,6:20,2,10,GNB 42,31,3,Brett Favre for 9 yards (tackle by Bryan Thomas),1.190,1.690
3,5:48,3,1,NYJ 49,31,3,Ahman Green middle for 7 yards,1.690,2.790
3,5:07,1,10,NYJ 42,31,3,Brett Favre pass complete short right to Ahman Green for 4 yards (tackle by Erik Coleman and Victor Hobson),2.790,2.780
3,4:23,2,6,NYJ 38,31,3,Brett Favre pass incomplete short right intended for Bubba Franks,2.780,2.080
3,4:15,3,6,NYJ 38,31,3,Brett Favre pass complete short middle to Noah Herron for 5 yards (tackle by Brad Kassell),2.080,1.210
3,3:35,4,1,NYJ 33,31,3,Brett Favre pass incomplete short middle intended for Donald Lee,1.210,-1.200
3,3:30,1,10,NYJ 34,31,3,Cedric Houston right end for -1 yards (tackle by Ryan Pickett and Nick Barnett),1.200,0.520
3,2:51,2,11,NYJ 33,31,3,Chad Pennington pass incomplete short right intended for Leon Washington (defended by Ryan Pickett),0.520,-0.160
3,2:46,3,11,NYJ 33,31,3,Chad Pennington pass incomplete short right intended for Justin McCareins is intercepted by Patrick Dendy at NYJ-44 and returned for 7 yards,-0.160,-3.120
3,2:39,1,10,NYJ 37,31,3,Ahman Green middle for 3 yards (tackle by Eric Barton),3.120,2.980
3,2:06,2,7,NYJ 34,31,3,Brett Favre pass complete short middle to Donald Driver for 14 yards (tackle by Hank Poteat),2.980,4.240
3,1:24,1,10,NYJ 20,31,3,Brett Favre pass incomplete short left intended for Donald Driver,4.240,3.690
3,1:21,2,10,NYJ 20,31,9,"Brett Favre pass complete deep left to Donald Driver for 20 yards, touchdown",3.690,7.000
3,,,,NYJ 2,31,10,Dave Rayner kicks extra point good,0.000,0.000
3,,,,GNB 30,31,10,Dave Rayner kicks onside 3 yards (onside kick successful),0.000,1.140
,,,,,,,"GNB challenged the ruling, and the original play was overturned.",,
3,1:15,1,10,GNB 33,31,10,Ahman Green right tackle for no gain (tackle by Victor Hobson and Eric Barton),1.140,0.590
3,0:34,2,10,GNB 33,31,10,Brett Favre pass incomplete deep left intended for Greg Jennings (defended by David Barrett),0.590,-0.100
3,0:29,3,10,GNB 33,31,10,Brett Favre pass incomplete short right intended for Ruvell Martin,-0.100,-1.180
3,0:25,4,10,GNB 33,31,10,"Jon Ryan punts 38 yards, returned by Hank Poteat for 18 yards (tackle by Zac Alcorn). Penalty on Anthony Schlegel: Illegal Block Above the , 10 yards",-1.180,-0.150
3,0:08,1,10,NYJ 19,31,10,Cedric Houston middle for 9 yards (tackle by Kabeer Gbaja-Biamila and Colin Cole),0.150,0.880
Quarter,Time,Down,ToGo,Location,NYJ,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,NYJ 28,31,10,Cedric Houston right tackle for 31 yards (tackle by Nick Collins),0.880,2.850
4,14:16,1,10,GNB 41,31,10,Chad Pennington pass complete short middle to Jerricho Cotchery for 6 yards (tackle by A.J. Hawk),2.850,3.120
4,13:37,2,4,GNB 35,31,10,Leon Washington right end for 4 yards (tackle by Nick Collins),3.120,3.510
4,12:53,1,10,GNB 31,31,10,Leon Washington right end for 3 yards (tackle by A.J. Hawk),3.510,3.370
4,12:10,2,7,GNB 28,31,10,Chad Pennington pass complete short left to Brad Smith for 8 yards (tackle by Nick Collins). Penalty on Mike Montgomery: Defensive Offside (Declined),3.370,4.240
4,11:35,1,10,GNB 20,37,10,"Leon Washington middle for 20 yards, touchdown",4.240,7.000
4,,,,GNB 2,38,10,Mike Nugent kicks extra point good,0.000,0.000
4,,,,NYJ 30,38,10,"Mike Nugent kicks off 53 yards, returned by Noah Herron for 18 yards (tackle by Rashad Washington)",0.000,1.270
4,11:25,1,10,GNB 35,38,10,Brett Favre pass incomplete short right intended for Ahman Green,1.270,0.720
4,11:19,2,10,GNB 35,38,10,Brett Favre for 11 yards (tackle by Shaun Ellis),0.720,1.990
4,10:46,1,10,GNB 46,38,10,Brett Favre pass complete short middle to Vernand Morency for 10 yards (tackle by Victor Hobson),1.990,2.650
4,10:11,1,10,NYJ 44,38,10,Brett Favre pass complete short right to Vernand Morency for 18 yards (tackle by Justin Miller),2.650,3.840
4,9:42,,,,38,10,Timeout #1 by New York Jets,0.000,3.840
4,9:42,1,10,NYJ 26,38,10,Ahman Green middle for 15 yards (tackle by David Barrett),3.840,4.840
4,9:12,1,10,NYJ 11,38,10,Brett Favre pass incomplete short middle intended for Ahman Green (defended by Victor Hobson),4.840,4.140
4,9:09,2,10,NYJ 11,38,10,Brett Favre pass incomplete short middle intended for Donald Driver (defended by Kerry Rhodes),4.140,3.130
4,9:03,3,10,NYJ 11,38,10,Brett Favre pass incomplete short right intended for Greg Jennings (defended by Justin Miller),3.130,2.700
4,8:59,,,,38,10,Timeout #1 by Green Bay Packers,0.000,2.700
4,8:59,4,10,NYJ 11,38,10,Brett Favre pass incomplete short middle intended for Donald Driver,2.700,0.370
4,8:53,1,10,NYJ 11,38,10,"Penalty on Cedric Houston: False Start, 5 yards (no play)",-0.370,-0.570
4,8:53,1,15,NYJ 6,38,10,Cedric Houston right guard for -1 yards (tackle by Brady Poppinga),-0.570,-1.220
4,8:22,2,16,NYJ 5,38,10,Chad Pennington pass complete short right to Cedric Houston for 8 yards (tackle by Nick Barnett),-1.220,-1.190
4,7:37,,,,38,10,Timeout #2 by New York Jets,0.000,-1.190
4,7:37,3,8,NYJ 13,38,10,Leon Washington right guard for 1 yard (tackle by Brady Poppinga and Cullen Jenkins),-1.190,-2.470
4,6:54,4,7,NYJ 14,38,10,"Ben Graham punts 51 yards, returned by Greg Jennings for 9 yards (tackle by B.J. Askew)",-2.470,-1.860
4,6:42,1,10,GNB 44,38,10,Brett Favre pass incomplete deep middle intended for Donald Driver,1.860,1.320
4,6:35,2,10,GNB 44,38,10,Brett Favre pass complete short left to Ruvell Martin for 5 yards (tackle by Erik Coleman),1.320,1.290
4,5:59,3,5,GNB 49,38,10,Brett Favre sacked by Bryan Thomas and Shaun Ellis for -8 yards,1.290,-0.650
4,5:24,4,13,GNB 41,38,10,Brett Favre pass incomplete deep middle intended for Donald Driver is intercepted by Kerry Rhodes at NYJ-41 and returned for 12 yards,-0.650,-2.460
4,5:12,1,10,GNB 47,38,10,"Cedric Houston right guard for 4 yards (tackle by Kabeer Gbaja-Biamila). Penalty on Nick Barnett: Unnecessary Roughness, 15 yards",2.460,3.710
4,4:41,1,10,GNB 28,38,10,Cedric Houston left tackle for 5 yards (tackle by Nick Collins and Nick Barnett),3.710,3.840
4,3:58,2,5,GNB 23,38,10,Cedric Houston right guard for 3 yards (tackle by Brady Poppinga),3.840,3.530
4,3:12,3,2,GNB 20,38,10,B.J. Askew right guard for 1 yard (tackle by Marquand Manuel and Aaron Kampman),3.530,2.340
4,2:27,4,1,GNB 19,38,10,Cedric Houston right guard for no gain (tackle by Nick Barnett),2.340,-0.150
4,2:15,1,10,GNB 19,38,10,Vernand Morency left end for 3 yards (tackle by Jonathan Vilma and Victor Hobson),0.150,0.070
4,2:00,2,7,GNB 22,38,10,Brett Favre middle for 13 yards (tackle by Eric Barton),0.070,1.270
4,1:27,1,10,GNB 35,38,10,Brett Favre pass complete short right to Noah Herron for 9 yards (tackle by Victor Hobson and Erik Coleman),1.270,1.940
4,1:20,2,1,GNB 44,38,10,Brett Favre pass complete short right to Chris Francies for 4 yards (tackle by Jonathan Vilma),1.940,2.130
4,0:54,1,10,GNB 48,38,10,Brett Favre pass complete short middle to Noah Herron for 9 yards (tackle by Victor Hobson),2.130,2.800
4,0:33,2,1,NYJ 43,38,10,Brett Favre pass incomplete short middle intended for Noah Herron (defended by Dave Ball),2.800,2.080
4,0:33,3,1,NYJ 43,38,10,"Penalty on Tony Moll: False Start, 5 yards (no play)",2.080,1.420
4,0:30,3,6,NYJ 48,38,10,Brett Favre pass complete short left to Noah Herron for 10 yards (tackle by Hank Poteat),1.420,3.050
4,0:23,1,10,NYJ 38,38,10,Brett Favre pass incomplete short right intended for Chris Francies,3.050,2.510
4,0:19,2,10,NYJ 38,38,10,Brett Favre pass complete short right to Noah Herron for 3 yards (tackle by Eric Barton),2.510,2.210
4,0:10,,,,38,10,Timeout #2 by Green Bay Packers,0.000,2.210
4,0:10,3,7,NYJ 35,38,10,"Brett Favre pass complete short left to Greg Jennings for 7 yards, lateral to Vernand Morency for 4 yards (tackle by Jonathan Vilma)",2.210,2.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
