Unnamed: 0,NYJ,GNB
First Downs,27,23
Rush-Yds-TDs,31-178-3,23-149-0
Cmp-Att-Yd-TD-INT,25-35-263-2-2,24-47-214-1-2
Sacked-Yards,0-0,2-12
Net Pass Yards,263,202
Total Yards,441,351
Fumbles-Lost,1-0,1-1
Turnovers,2,3
Penalties-Yards,3-20,4-29
Third Down Conv.,6-10,4-13
Fourth Down Conv.,0-1,2-5
Time of Possession,31:27,28:33
