Quarter,Time,Tm,Detail,HOU,TAM
1.0,14:12,Texans,Bradley Roby 27 yard interception return (Ka'imi Fairbairn kick),7,0
,11:29,Texans,Ka'imi Fairbairn 32 yard field goal,10,0
,0:56,Buccaneers,Matt Gay 50 yard field goal,10,3
2.0,9:22,Texans,Carlos Hyde 1 yard rush (Ka'imi Fairbairn kick),17,3
,1:57,Buccaneers,Ronald Jones II 4 yard rush (Matt Gay kick),17,10
,0:13,Buccaneers,Justin Watson 8 yard pass from Jameis Winston (Matt Gay kick),17,17
3.0,9:30,Texans,Ka'imi Fairbairn 25 yard field goal,20,17
,1:13,Buccaneers,Matt Gay 41 yard field goal,20,20
4.0,7:11,Texans,Ka'imi Fairbairn 37 yard field goal,23,20
