Quarter,Time,Tm,Detail,NOR,CAR
1.0,9:00,Saints,Zach Hocker 31 yard field goal,3,0
2.0,11:44,Saints,Mark Ingram 5 yard rush (Zach Hocker kick),10,0
,5:14,Panthers,Greg Olsen 11 yard pass from Cam Newton (Graham Gano kick),10,7
,0:02,Panthers,Graham Gano 20 yard field goal,10,10
3.0,12:31,Saints,Marcus Murphy 74 yard punt return,16,10
,8:43,Panthers,Greg Olsen 11 yard pass from Cam Newton (Graham Gano kick),16,17
,1:31,Panthers,Graham Gano 47 yard field goal,16,20
4.0,9:32,Panthers,Cam Newton 13 yard rush (Graham Gano kick),16,27
,4:50,Saints,Khiry Robinson 2 yard rush (pass failed),22,27
