Unnamed: 0,HOU,JAX
First Downs,19,22
Rush-Yds-TDs,28-107-1,27-115-2
Cmp-Att-Yd-TD-INT,19-32-281-2-0,26-38-304-1-1
Sacked-Yards,2-14,2-16
Net Pass Yards,267,288
Total Yards,374,403
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,3-18,4-78
Third Down Conv.,6-15,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,27:53,32:07
