Quarter,Time,Tm,Detail,HOU,JAX
1.0,14:08,Jaguars,DJ Chark 73 yard pass from Jake Luton (Josh Lambo kick),0,7
,13:33,Texans,Brandin Cooks 57 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,7
,9:48,Texans,Ka'imi Fairbairn 54 yard field goal,10,7
2.0,12:27,Texans,Ka'imi Fairbairn 30 yard field goal,13,7
,5:42,Jaguars,James Robinson 1 yard rush (Josh Lambo kick failed),13,13
,0:27,Texans,Duke Johnson 1 yard rush (Ka'imi Fairbairn kick),20,13
,0:00,Jaguars,Josh Lambo 59 yard field goal,20,16
3.0,6:05,Texans,Will Fuller 77 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),27,16
,1:11,Jaguars,Josh Lambo 30 yard field goal,27,19
4.0,1:30,Jaguars,Jake Luton 13 yard rush (pass failed),27,25
