Quarter,Time,Tm,Detail,BUF,HOU
1.0,10:26,Texans,Kris Brown 26 yard field goal,0,3
,5:00,Bills,Mike Hollis 33 yard field goal,3,3
2.0,10:31,Texans,Jabar Gaffney 26 yard pass from David Carr (Kris Brown kick),3,10
,5:04,Texans,David Carr 17 yard rush (Kris Brown kick),3,17
,0:54,Bills,Travis Henry 1 yard rush (Mike Hollis kick),10,17
3.0,6:32,Bills,Travis Henry 23 yard rush (Mike Hollis kick),17,17
4.0,14:10,Texans,Billy Miller 5 yard pass from James Allen (Kris Brown kick),17,24
,10:39,Bills,Eric Moulds 23 yard pass from Drew Bledsoe (Mike Hollis kick),24,24
,3:55,Bills,Peerless Price 26 yard pass from Drew Bledsoe (Mike Hollis kick),31,24
