Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,PHI 20,0,0,Nick Foles pass complete short right to Brent Celek for 1 yard (tackle by Leonard Johnson and Lavonte David),0.280,-0.130
1,14:33,2,9,PHI 21,0,0,Nick Foles pass complete short left to Damaris Johnson for 6 yards (tackle by E.J. Biggers),-0.130,-0.030
1,13:53,3,3,PHI 27,0,0,Nick Foles sacked by Gerald McCoy for -10 yards,-0.030,-2.320
1,13:32,4,13,PHI 17,0,0,"Mat McBriar punts 66 yards, returned by Roscoe Parrish for 18 yards (tackle by Akeem Jordan)",-2.320,-1.270
1,13:18,1,10,TAM 35,0,0,"Josh Freeman for no gain. Josh Freeman fumbles, recovered by Doug Martin at TAM-31",1.270,0.180
1,12:45,2,14,TAM 31,0,0,Doug Martin right tackle for 1 yard (tackle by Nnamdi Asomugha),0.180,-0.360
1,12:02,3,13,TAM 32,0,0,DJ Ware right end for -7 yards (tackle by Mychal Kendricks),-0.360,-1.700
1,11:21,4,20,TAM 25,0,0,"Michael Koenen punts 44 yards, fair catch by Damaris Johnson",-1.700,-1.000
1,11:11,1,10,PHI 31,0,0,Bryce Brown right tackle for -4 yards (tackle by Michael Bennett),1.000,-0.080
1,10:36,2,14,PHI 27,0,0,Bryce Brown left end for no gain (tackle by Ronde Barber),-0.080,-0.760
1,10:16,3,14,PHI 27,0,0,Nick Foles pass incomplete short left intended for Jeremy Maclin,-0.760,-1.570
1,10:11,4,14,PHI 27,0,0,Mat McBriar punts 45 yards (tackle by Nate Allen),-1.570,-1.270
1,10:05,1,10,TAM 35,0,0,Josh Freeman pass incomplete short right intended for Vincent Jackson (defended by Dominique Rodgers-Cromartie),1.270,0.720
1,10:01,2,10,TAM 35,0,0,Josh Freeman pass incomplete deep middle intended for Vincent Jackson,0.720,0.040
1,9:53,3,10,TAM 35,0,0,Josh Freeman pass complete short left to Vincent Jackson for 19 yards (tackle by Nnamdi Asomugha),0.040,2.520
1,9:24,1,10,PHI 46,0,0,Doug Martin left guard for 4 yards (tackle by Derek Landri and Trent Cole),2.520,2.520
1,8:45,2,6,PHI 42,0,0,Doug Martin left guard for 3 yards (tackle by DeMeco Ryans and Jamar Chaney),2.520,2.210
1,8:02,3,3,PHI 39,0,0,Josh Freeman pass incomplete short right intended for Mike Williams,2.210,0.660
1,7:57,4,3,PHI 39,0,0,"Michael Koenen punts 25 yards, fair catch by Damaris Johnson",0.660,0.280
1,7:49,1,10,PHI 14,0,0,Nick Foles pass complete short left to Riley Cooper for 10 yards (tackle by E.J. Biggers),-0.280,0.540
1,7:11,1,10,PHI 24,0,0,Nick Foles pass incomplete short left intended for Riley Cooper (defended by E.J. Biggers),0.540,0.000
1,7:05,2,10,PHI 24,0,0,Bryce Brown left tackle for 1 yard (tackle by Gerald McCoy),0.000,-0.560
1,6:26,3,9,PHI 25,0,0,Nick Foles sacked by Michael Bennett for -10 yards,-0.560,-2.440
1,6:10,4,19,PHI 15,0,0,Mat McBriar punts 46 yards,-2.440,-1.530
1,5:55,1,10,TAM 39,0,0,Josh Freeman pass complete short right to Doug Martin for 4 yards (tackle by Brandon Graham),1.530,1.530
1,5:26,2,6,TAM 43,0,0,Doug Martin up the middle for 7 yards (tackle by DeMeco Ryans),1.530,2.260
1,4:44,1,10,,0,0,"Penalty on Donald Penn: False Start, 5 yards (no play)",2.260,1.930
1,4:24,1,15,TAM 45,0,0,Doug Martin right guard for 6 yards (tackle by Colt Anderson),1.930,1.850
1,3:51,2,9,PHI 49,0,0,Josh Freeman pass incomplete short left intended for Luke Stocker (defended by Jamar Chaney),1.850,1.160
1,3:45,3,9,PHI 49,0,0,Josh Freeman pass incomplete short middle intended for Dallas Clark,1.160,0.000
1,3:40,4,9,PHI 49,0,0,"Michael Koenen punts 49 yards, touchback",0.000,-0.280
1,3:30,1,10,PHI 20,0,0,Bryce Brown left end for 1 yard (tackle by Gary Gibson),0.280,-0.130
1,2:54,2,9,PHI 21,0,0,Nick Foles pass complete short right to Jeremy Maclin for 4 yards (tackle by Lavonte David),-0.130,-0.300
1,2:17,3,5,PHI 25,0,0,Nick Foles pass complete short middle to Riley Cooper for 16 yards (tackle by Ahmad Black),-0.300,1.660
1,1:41,1,10,PHI 41,0,0,Bryce Brown left end for no gain (tackle by Ronde Barber),1.660,1.120
1,1:11,2,10,PHI 41,0,0,Nick Foles pass incomplete deep right intended for Marvin McNutt,1.120,0.430
1,1:03,3,10,PHI 41,0,0,Nick Foles pass complete short right to Jason Avant for 7 yards (tackle by Anthony Gaitor),0.430,-0.190
1,0:26,4,3,PHI 48,0,0,"Mat McBriar punts 29 yards, out of bounds",-0.190,-0.480
1,0:17,1,10,TAM 23,0,0,Doug Martin right tackle for 7 yards (tackle by Cedric Thornton and Colt Anderson),0.480,0.880
Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,TAM 30,0,0,LeGarrette Blount left guard for 2 yards (tackle by Mychal Kendricks),0.880,0.430
2,14:21,3,1,TAM 32,0,0,Doug Martin right end for -1 yards (tackle by Vinny Curry),0.430,-1.310
2,13:44,4,2,TAM 31,0,0,"Michael Koenen punts 48 yards, returned by Damaris Johnson for 2 yards (tackle by Danny Gorrer)",-1.310,-0.480
2,13:31,1,10,PHI 23,0,0,Bryce Brown up the middle for no gain (tackle by Anthony Gaitor),0.480,-0.070
