Quarter,Time,Tm,Detail,PHI,TAM
2.0,7:13,Eagles,Alex Henery 28 yard field goal,3,0
,1:40,Eagles,Nick Foles 10 yard rush (Alex Henery kick),10,0
3.0,11:35,Buccaneers,Mike Williams 1 yard pass from Josh Freeman (Connor Barth kick),10,7
4.0,14:26,Buccaneers,Vincent Jackson 13 yard pass from Josh Freeman (Connor Barth kick),10,14
,7:21,Buccaneers,Doug Martin 4 yard rush (Connor Barth kick),10,21
,3:55,Eagles,Clay Harbor 11 yard pass from Nick Foles (pass failed),16,21
,0:00,Eagles,Jeremy Maclin 1 yard pass from Nick Foles (Alex Henery kick),23,21
