Unnamed: 0,PHI,TAM
First Downs,23,18
Rush-Yds-TDs,16-29-1,32-136-1
Cmp-Att-Yd-TD-INT,32-51-381-2-0,14-34-189-2-0
Sacked-Yards,6-43,2-11
Net Pass Yards,338,178
Total Yards,367,314
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,2-13,8-64
Third Down Conv.,7-18,6-16
Fourth Down Conv.,2-2,0-0
Time of Possession,29:51,30:09
