Unnamed: 0,SEA,SFO
First Downs,14,25
Rush-Yds-TDs,14-36-0,45-189-2
Cmp-Att-Yd-TD-INT,24-31-197-0-2,15-24-184-1-0
Sacked-Yards,2-17,1-0
Net Pass Yards,180,184
Total Yards,216,373
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,10-106,1-26
Third Down Conv.,2-7,6-15
Fourth Down Conv.,0-0,2-3
Time of Possession,21:40,38:20
