Unnamed: 0,CHI,DAL
First Downs,18,26
Rush-Yds-TDs,28-93-0,14-41-0
Cmp-Att-Yd-TD-INT,18-24-275-2-0,40-53-396-2-5
Sacked-Yards,2-8,1-7
Net Pass Yards,267,389
Total Yards,360,430
Fumbles-Lost,1-1,2-0
Turnovers,1,5
Penalties-Yards,4-25,2-10
Third Down Conv.,7-12,3-9
Fourth Down Conv.,0-0,1-1
Time of Possession,30:50,29:10
