Quarter,Time,Tm,Detail,CHI,DAL
2.0,4:15,Bears,Robbie Gould 43 yard field goal,3,0
,2:38,Bears,Charles Tillman 25 yard interception return (Robbie Gould kick),10,0
,0:14,Cowboys,Miles Austin 10 yard pass from Tony Romo (Dan Bailey kick),10,7
3.0,11:54,Bears,Devin Hester 34 yard pass from Jay Cutler (Robbie Gould kick),17,7
,6:11,Bears,Lance Briggs 74 yard interception return (Robbie Gould kick),24,7
,2:11,Cowboys,Dan Bailey 39 yard field goal,24,10
4.0,11:24,Bears,Robbie Gould 21 yard field goal,27,10
,6:28,Bears,Brandon Marshall 31 yard pass from Jay Cutler (Robbie Gould kick),34,10
,0:34,Cowboys,Jason Witten 5 yard pass from Kyle Orton (Dez Bryant pass from Kyle Orton),34,18
