Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback.",,
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott left end for 2 yards (tackle by Brian Burns),,
1,14:28,2,8,DAL 27,0,0,Ezekiel Elliott right guard for 2 yards (tackle by Haason Reddick),,
1,13:50,3,6,DAL 29,0,0,Dak Prescott pass incomplete short left intended for Dalton Schultz (defended by Frankie Luvu),,
1,13:46,4,6,DAL 29,0,0,"Bryan Anger punts 51 yards, fair catch by Alex Erickson at CAR-20",,
1,13:38,1,10,CAR 20,0,0,Chuba Hubbard right tackle for 4 yards (tackle by Leighton Vander Esch),,
1,12:57,2,6,CAR 24,0,0,Sam Darnold pass incomplete short left intended for Robbie Anderson (defended by Anthony Brown),,
1,12:54,3,6,CAR 24,0,0,Sam Darnold sacked by Randy Gregory for -8 yards,,
1,12:15,4,14,CAR 16,0,0,"Joseph Charlton punts 49 yards, fair catch by CeeDee Lamb at DAL-35. Penalty on C.J. Goodwin: Defensive Offside, 5 yards (accepted)",,
1,12:07,1,10,DAL 30,0,0,Ezekiel Elliott left tackle for 19 yards (tackle by Sean Chandler),,
1,11:45,1,10,DAL 49,0,0,"Dak Prescott pass complete to Noah Brown for no gain (tackle by Donte Jackson and Sean Chandler). Penalty on Dalton Schultz: Offensive Pass Interference, 10 yards (accepted) (no play)",,
1,11:13,1,20,DAL 39,0,0,"Tyler Biadasz aborted snap, recovered by Dak Prescott at DAL-34 and returned for 20 yards Dak Prescott for no gain",,
1,10:45,2,5,CAR 46,0,0,Ezekiel Elliott left tackle for 8 yards (tackle by Brian Burns),,
1,10:22,1,10,CAR 38,0,0,Dak Prescott pass complete short right to Dalton Schultz for 18 yards (tackle by Rashaan Melvin),,
1,9:40,1,10,CAR 20,0,0,Ezekiel Elliott up the middle for 7 yards (tackle by Jermaine Carter),,
1,8:55,2,3,CAR 13,0,0,Tony Pollard right guard for 5 yards (tackle by Shaq Thompson),,
1,8:14,1,8,CAR 8,0,0,Tony Pollard up the middle for 7 yards (tackle by A.J. Bouye and Sean Chandler),,
1,7:35,2,1,CAR 1,0,0,Dak Prescott pass incomplete short left intended for Dalton Schultz (defended by Sam Franklin),,
1,7:31,3,1,CAR 1,0,6,"Ezekiel Elliott left guard for 1 yard, touchdown",,
1,7:27,,,CAR 15,0,7,Greg Zuerlein kicks extra point good,,
1,7:27,,,DAL 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback.",,
1,7:27,1,10,CAR 25,0,7,Chuba Hubbard up the middle for 14 yards (tackle by Damontae Kazee),,
1,6:50,1,10,CAR 39,0,7,Sam Darnold pass incomplete deep middle intended for D.J. Moore,,
1,6:42,2,10,CAR 39,0,7,Chuba Hubbard right tackle for 12 yards (tackle by Malik Hooker),,
1,6:01,1,10,DAL 49,0,7,Sam Darnold pass complete short left to D.J. Moore for 9 yards (tackle by Trevon Diggs),,
1,5:24,2,1,DAL 40,0,7,Sam Darnold up the middle for 2 yards (tackle by Austin Faoliu),,
1,4:45,1,10,DAL 38,0,7,Sam Darnold pass complete short middle to D.J. Moore for 29 yards (tackle by Jayron Kearse),,
1,3:51,1,9,DAL 9,0,7,Chuba Hubbard left guard for -1 yards (tackle by Justin Hamilton and Randy Gregory),,
1,3:09,2,10,DAL 10,0,7,Sam Darnold pass complete short right to D.J. Moore for 9 yards (tackle by Leighton Vander Esch),,
1,2:45,3,1,DAL 1,6,7,"Sam Darnold right guard for 1 yard, touchdown",,
1,2:41,,,DAL 15,7,7,Zane Gonzalez kicks extra point good,,
1,2:41,,,CAR 35,7,7,"Zane Gonzalez kicks off 65 yards, touchback.",,
1,2:41,1,10,DAL 25,7,7,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Donte Jackson),,
1,2:36,2,10,DAL 25,7,7,"Dak Prescott pass complete to Dalton Schultz for no gain. Dalton Schultz fumbles (forced by Sean Chandler), recovered by Brian Burns at DAL-40 (tackle by Shaq Thompson) Replay Assistant challenged the fumble ruling, and the original play was overturned. Dak Prescott pass complete short right to Dalton Schultz for 12 yards (tackle by Shaq Thompson)",,
1,2:24,1,10,DAL 37,7,7,"Penalty on CeeDee Lamb: False Start, 5 yards (accepted) (no play)",,
1,2:14,1,15,DAL 32,7,7,Tony Pollard up the middle for 4 yards (tackle by Brian Burns and Daviyon Nixon),,
1,1:47,2,11,DAL 36,7,7,Dak Prescott pass complete short right to Dalton Schultz for 10 yards (tackle by Jeremy Chinn),,
1,1:23,3,1,DAL 46,7,7,Tony Pollard up the middle for no gain (tackle by Shaq Thompson),,
1,0:57,4,1,DAL 46,7,7,Dak Prescott scrambles for 21 yards (tackle by Jeremy Chinn),,
1,0:25,1,10,CAR 33,7,7,Ezekiel Elliott left tackle for 1 yard (tackle by Rashaan Melvin),,
Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,CAR 32,7,7,Dak Prescott pass complete to Amari Cooper for 14 yards (tackle by A.J. Bouye),,
2,14:16,1,10,CAR 18,7,13,"Dak Prescott pass complete short middle to Blake Jarwin for 18 yards, touchdown",,
2,14:09,,,CAR 15,7,13,"Penalty on CAR: Defensive Too Many Men on Field, 1 yard (accepted) (no play)",,
2,14:09,1,1,CAR 2,7,13,"Two Point Attempt: Dak Prescott pass complete to to Dalton Schultz for no gain Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Two Point Attempt: Dak Prescott pass incomplete intended for intended for Dalton Schultz",,
2,14:09,,,DAL 35,7,13,"Greg Zuerlein kicks off 65 yards, touchback.",,
2,14:09,1,10,CAR 25,7,13,"Penalty on Colin Thompson: False Start, 5 yards (accepted) (no play)",,
2,14:09,1,15,CAR 20,7,13,Sam Darnold pass complete short right to Chuba Hubbard for 3 yards (tackle by Anthony Brown),,
2,13:22,2,12,CAR 23,7,13,"Sam Darnold pass incomplete deep left intended for Robbie Anderson. Penalty on Cameron Erving: Face Mask (15 Yards), 15 yards (declined)",,
2,13:15,3,12,CAR 23,7,13,Sam Darnold pass complete short left to Robbie Anderson for 13 yards (tackle by Anthony Brown),,
2,12:38,1,10,CAR 36,7,13,Chuba Hubbard left end for -1 yards (tackle by Jayron Kearse),,
2,11:55,2,11,CAR 35,7,13,Sam Darnold pass incomplete deep left intended for Tommy Tremble,,
2,11:49,3,11,CAR 35,7,13,Sam Darnold scrambles for 14 yards (tackle by Trevon Diggs),,
2,11:06,1,10,CAR 49,7,13,Chuba Hubbard left end for 7 yards (tackle by Chauncey Golston),,
2,10:26,2,3,DAL 44,7,13,Royce Freeman left end for 4 yards (tackle by Micah Parsons),,
2,9:46,1,10,DAL 40,7,13,Sam Darnold pass complete short left to Robbie Anderson for 6 yards (tackle by Justin Hamilton),,
2,9:01,2,4,DAL 34,7,13,Sam Darnold pass complete short left to D.J. Moore for 5 yards (tackle by Trevon Diggs),,
2,8:22,1,10,DAL 29,7,13,"Sam Darnold pass complete short right to Rodney Smith for 17 yards (tackle by Jourdan Lewis). Penalty on Trevon Diggs: Defensive Holding, 5 yards (declined)",,
2,7:51,1,10,DAL 12,7,13,Sam Darnold pass complete short right to Ian Thomas for 1 yard (tackle by Jaylon Smith),,
2,7:09,2,9,DAL 11,13,13,"Sam Darnold up the middle for 11 yards, touchdown",,
2,7:02,,,DAL 15,14,13,Zane Gonzalez kicks extra point good,,
2,7:02,,,CAR 35,14,13,"Zane Gonzalez kicks off 65 yards, touchback.",,
2,7:02,1,10,DAL 25,14,13,"Dak Prescott pass incomplete intended for CeeDee Lamb. Penalty on Donte Jackson: Defensive Pass Interference, 6 yards (accepted) (no play)",,
