Unnamed: 0,CAR,DAL
First Downs,24,24
Rush-Yds-TDs,24-113-2,34-245-1
Cmp-Att-Yd-TD-INT,26-39-301-2-2,14-22-188-4-0
Sacked-Yards,5-35,0-0
Net Pass Yards,266,188
Total Yards,379,433
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,6-32,7-50
Third Down Conv.,4-13,3-9
Fourth Down Conv.,3-3,1-1
Time of Possession,33:36,26:24
