Quarter,Time,Tm,Detail,TEN,CLE
1.0,7:49,Browns,Dustin Hopkins 48 yard field goal,0,3
2.0,14:14,Titans,Nick Folk 44 yard field goal,3,3
,9:39,Browns,Jerome Ford 19 yard pass from Deshaun Watson (Dustin Hopkins kick),3,10
,1:00,Browns,Dustin Hopkins 52 yard field goal,3,13
3.0,5:49,Browns,Jerome Ford 3 yard rush (Dustin Hopkins kick),3,20
4.0,6:51,Browns,Amari Cooper 43 yard pass from Deshaun Watson (Dustin Hopkins kick),3,27
