Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Nick Folk kicks off 69 yards, returned by Pierre Strong for 26 yards (tackle by Luke Gifford and Monty Rice)",0.000,0.410
1,14:54,1,10,CLE 22,0,0,Deshaun Watson pass complete short right to Donovan Peoples-Jones for 8 yards (tackle by Sean Murphy-Bunting),0.410,0.950
1,14:11,2,2,CLE 30,0,0,Deshaun Watson sacked by Azeez Al-Shaair for -2 yards,0.950,-0.030
1,13:39,3,4,CLE 28,0,0,Deshaun Watson pass complete short left to Elijah Moore for 10 yards (tackle by Amani Hooker),-0.030,1.470
1,13:02,1,10,CLE 38,0,0,Elijah Moore left end for 2 yards (tackle by Amani Hooker),1.470,1.190
1,12:27,2,8,CLE 40,0,0,Deshaun Watson pass complete short right to David Njoku for 2 yards (tackle by Jack Gibbens),1.190,0.760
1,11:47,3,6,CLE 42,0,0,Deshaun Watson pass complete short right to Elijah Moore for 7 yards (tackle by Roger McCreary),0.760,2.190
1,11:12,1,10,CLE 49,0,0,Kareem Hunt right guard for 1 yard (tackle by Jeffery Simmons),2.190,1.780
1,10:41,2,9,CLE 50,0,0,Deshaun Watson pass complete short right to Elijah Moore for 14 yards (tackle by Jeffery Simmons),1.780,3.180
1,9:56,1,10,TEN 36,0,0,Pierre Strong left tackle for 5 yards (tackle by Arden Key and Jack Gibbens),3.180,3.310
1,9:18,2,5,TEN 31,0,0,Marquise Goodwin left end for 1 yard (tackle by Kristian Fulton),3.310,2.740
1,8:35,3,4,TEN 30,0,0,Deshaun Watson left end for no gain (tackle by Kristian Fulton and Elijah Molden),2.740,1.460
1,7:54,4,4,TEN 30,0,3,Dustin Hopkins 48 yard field goal good,1.460,3.000
1,7:49,,,CLE 35,0,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,7:49,1,10,TEN 25,0,3,Ryan Tannehill pass complete short right to Treylon Burks for 5 yards (tackle by Denzel Ward),0.610,0.740
1,7:10,2,5,TEN 30,0,3,Derrick Henry right guard for 2 yards (tackle by Grant Delpit),0.740,0.300
1,6:29,3,3,TEN 32,0,3,Ryan Tannehill pass incomplete short left intended for DeAndre Hopkins,0.300,-1.240
1,6:24,4,3,TEN 32,0,3,Ryan Stonehouse punts 49 yards out of bounds,-1.240,-0.150
1,6:18,1,10,CLE 19,0,3,Deshaun Watson pass complete short right to Amari Cooper for 7 yards (tackle by Roger McCreary),0.150,0.610
1,5:46,2,3,CLE 26,0,3,Jerome Ford left guard for no gain (tackle by Azeez Al-Shaair and Roger McCreary),0.610,-0.160
1,5:11,3,3,CLE 26,0,3,Deshaun Watson pass incomplete short middle intended for Jerome Ford,-0.160,-1.630
1,5:05,4,3,CLE 26,0,3,"Corey Bojorquez punts 48 yards, returned by Mason Kinsey for 13 yards (tackle by Anthony Walker)",-1.630,-1.530
