Unnamed: 0,TEN,CLE
First Downs,6,23
Rush-Yds-TDs,15-26-0,31-78-1
Cmp-Att-Yd-TD-INT,13-25-104-0-0,27-33-289-2-0
Sacked-Yards,5-36,3-26
Net Pass Yards,68,263
Total Yards,94,341
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,8-80,5-46
Third Down Conv.,2-12,6-13
Fourth Down Conv.,1-1,1-1
Time of Possession,21:31,38:29
