Unnamed: 0,SFO,NYG
First Downs,29,13
Rush-Yds-TDs,35-93-3,15-66-0
Cmp-Att-Yd-TD-INT,25-36-343-1-0,17-32-179-0-1
Sacked-Yards,2-16,2-14
Net Pass Yards,327,165
Total Yards,420,231
Fumbles-Lost,0-0,4-2
Turnovers,0,3
Penalties-Yards,6-45,5-28
Third Down Conv.,8-12,4-10
Fourth Down Conv.,0-0,1-2
Time of Possession,39:44,20:16
