Quarter,Time,Tm,Detail,SFO,NYG
1.0,9:43,49ers,Robbie Gould 52 yard field goal,3,0
,1:02,49ers,Robbie Gould 32 yard field goal,6,0
2.0,13:32,Giants,Graham Gano 52 yard field goal,6,3
,7:25,Giants,Graham Gano 42 yard field goal,6,6
,1:07,49ers,Jerick McKinnon 10 yard rush (Robbie Gould kick),13,6
,0:03,49ers,Robbie Gould 26 yard field goal,16,6
3.0,8:06,Giants,Graham Gano 47 yard field goal,16,9
,3:14,49ers,Brandon Aiyuk 19 yard rush (Robbie Gould kick),23,9
4.0,13:28,49ers,Jeff Wilson 19 yard pass from Nick Mullens (pass failed),29,9
,3:35,49ers,Jeff Wilson 2 yard rush (Robbie Gould kick),36,9
