Unnamed: 0,WAS,NYG
First Downs,25,20
Rush-Yds-TDs,36-165-0,30-134-1
Cmp-Att-Yd-TD-INT,27-41-275-2-0,25-31-200-1-0
Sacked-Yards,5-29,4-18
Net Pass Yards,246,182
Total Yards,411,316
Fumbles-Lost,3-1,2-1
Turnovers,1,1
Penalties-Yards,7-55,4-34
Third Down Conv.,3-14,4-13
Fourth Down Conv.,1-1,0-0
Time of Possession,41:11,28:49
