Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
1,2:43,2,12,TEN 28,0,3,Marcus Mariota pass complete short right to Dion Lewis for 11 yards (tackle by Corey Graham),0.120,0.890
1,2:00,3,1,TEN 39,0,3,Marcus Mariota up the middle for 2 yards (tackle by Malcolm Jenkins and Jordan Hicks),0.890,1.660
1,1:25,1,10,TEN 41,0,3,Derrick Henry left end for -1 yards (tackle by Derek Barnett and Brandon Graham),1.660,0.990
1,0:46,2,11,TEN 40,0,3,Marcus Mariota pass incomplete deep middle intended for Taywan Taylor (defended by Ronald Darby),0.990,0.300
1,0:38,,,,,,Timeout #1 by Tennessee Titans,,
1,0:38,3,11,TEN 40,0,3,Marcus Mariota pass complete short right to Taywan Taylor for 7 yards (tackle by Corey Graham),0.300,-0.260
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,TEN 47,0,3,Brett Kern punts 48 yards downed by LeShaun Sims,-0.260,0.380
2,14:50,1,10,PHI 5,0,3,Jay Ajayi left tackle for 6 yards (tackle by Malcolm Butler and Logan Ryan),-0.380,-0.340
2,14:12,2,4,PHI 11,0,3,Jay Ajayi right end for no gain (tackle by Jurrell Casey and Jayon Brown),-0.340,-0.720
2,13:27,3,4,PHI 11,0,3,Carson Wentz pass complete deep left to Alshon Jeffery for 31 yards (tackle by Adoree' Jackson),-0.720,1.730
2,12:50,1,10,PHI 42,0,3,Carson Wentz pass complete short right to Nelson Agholor for 10 yards (tackle by Logan Ryan),1.730,2.390
2,12:20,1,10,TEN 48,0,3,Carson Wentz pass incomplete short right intended for Wendell Smallwood,2.390,1.850
2,12:15,2,10,TEN 48,0,3,Carson Wentz pass incomplete deep left intended for Nelson Agholor (defended by Logan Ryan),1.850,1.160
2,12:08,3,10,TEN 48,0,3,Carson Wentz pass incomplete short left intended for Zach Ertz,1.160,0.070
2,12:01,4,10,TEN 48,0,3,"Cameron Johnston punts 37 yards, fair catch by Nick Williams at TEN-11",0.070,0.370
2,11:53,1,10,TEN 11,0,3,Derrick Henry left end for 14 yards (tackle by Nigel Bradham and Sidney Jones),-0.370,0.610
2,11:11,1,10,TEN 25,0,3,Marcus Mariota pass complete short left to Corey Davis for 17 yards (tackle by Corey Graham),0.610,1.730
2,10:37,1,10,TEN 42,0,3,Dion Lewis up the middle for 2 yards (tackle by Derek Barnett),1.730,1.460
2,9:58,2,8,TEN 44,0,3,Marcus Mariota pass complete short left to Dion Lewis for 4 yards (tackle by Malcolm Jenkins),1.460,1.290
2,9:10,3,4,TEN 48,0,3,Marcus Mariota pass incomplete short right intended for Taywan Taylor,1.290,-0.190
2,9:04,4,4,TEN 48,0,3,Brett Kern punts 49 yards out of bounds,-0.190,0.380
2,8:56,1,10,PHI 3,0,3,Carson Wentz pass complete short right to Zach Ertz for 6 yards (tackle by Kevin Byard),-0.380,-0.340
2,8:13,2,4,PHI 9,0,3,Jay Ajayi right guard for 1 yard (tackle by Jurrell Casey),-0.340,-0.600
2,7:29,3,3,PHI 10,0,3,Wendell Smallwood left tackle for 5 yards (tackle by Harold Landry and Kenny Vaccaro),-0.600,-0.220
2,6:45,1,10,PHI 15,0,3,Carson Wentz pass complete short middle to Nelson Agholor for 6 yards (tackle by Kevin Byard and Bennie Logan),-0.220,0.210
2,6:08,2,4,PHI 21,0,3,"Carson Wentz pass complete short left to Alshon Jeffery for no gain (tackle by Malcolm Butler). Alshon Jeffery fumbles, ball out of bounds at PHI-27 (forced by Malcolm Butler)",0.210,-0.630
2,5:30,3,4,PHI 21,0,3,Carson Wentz pass complete short left to Zach Ertz for 10 yards (tackle by Jayon Brown and Kenny Vaccaro),-0.630,1.000
2,4:46,1,10,PHI 31,0,3,Carson Wentz pass complete short middle to Zach Ertz for 13 yards (tackle by Malcolm Butler),1.000,1.860
2,4:12,1,10,PHI 44,6,3,"Carson Wentz pass complete deep left to Jordan Matthews for 56 yards, touchdown",1.860,7.000
2,4:04,,,TEN 15,7,3,Jake Elliott kicks extra point good,0.000,0.000
2,4:04,,,PHI 35,7,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,4:04,1,10,TEN 25,7,3,Marcus Mariota sacked by Derek Barnett for -7 yards,0.610,-0.980
2,3:21,2,17,TEN 18,7,3,Marcus Mariota pass incomplete deep right intended for Corey Davis,-0.980,-1.720
2,3:15,3,17,TEN 18,7,3,Marcus Mariota pass complete short middle to Taywan Taylor for 10 yards (tackle by Sidney Jones),-1.720,-1.500
2,2:34,4,7,TEN 28,7,3,"Brett Kern punts 45 yards, returned by DeAndre Carter for no gain (tackle by William Compton and Beau Brinkley). Penalty on Sidney Jones: Face Mask (15 Yards), 13 yards",-1.500,0.280
2,2:22,1,10,PHI 14,7,3,Carson Wentz pass complete short left to Zach Ertz for 2 yards (tackle by Brian Orakpo),-0.280,-0.510
2,2:00,2,8,PHI 16,7,3,Carson Wentz pass complete short left to Alshon Jeffery for 9 yards (tackle by Malcolm Butler),-0.510,0.610
2,1:54,1,10,PHI 25,7,3,Carson Wentz pass complete short left to Wendell Smallwood for -3 yards (tackle by Jayon Brown and Brian Orakpo),0.610,-0.340
2,1:23,2,13,PHI 22,7,3,Carson Wentz pass complete short left to Kamar Aiken for 14 yards (tackle by Malcolm Butler),-0.340,1.330
2,1:18,1,10,PHI 36,7,3,Carson Wentz pass complete short middle to Zach Ertz for 11 yards (tackle by Kevin Byard),1.330,2.060
2,1:10,,,,,,Timeout #1 by Philadelphia Eagles,,
2,1:10,1,10,PHI 47,7,3,Carson Wentz pass incomplete short right intended for Zach Ertz,2.060,1.520
2,1:05,2,10,PHI 47,7,3,Carson Wentz sacked by Sharif Finch for -9 yards,1.520,-0.360
2,0:59,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:59,3,19,PHI 38,7,3,"Penalty on Lane Johnson: False Start, 5 yards (no play)",-0.360,-1.020
2,0:59,3,24,PHI 33,7,3,Wendell Smallwood up the middle for 15 yards (tackle by Kevin Byard),-1.020,-0.190
2,0:49,,,,,,Timeout #2 by Tennessee Titans,,
2,0:49,4,9,PHI 48,7,3,"Cameron Johnston punts 52 yards, touchback.",-0.190,-0.280
2,0:41,1,10,TEN 20,7,3,Marcus Mariota pass deep middle intended for Corey Davis is intercepted by Avonte Maddox at TEN-40 and returned for 23 yards,0.280,-4.440
2,0:26,1,10,TEN 17,7,3,Carson Wentz pass complete short right to Zach Ertz for 7 yards (tackle by Logan Ryan),4.440,5.100
2,0:18,2,3,TEN 10,7,3,Carson Wentz pass incomplete short right intended for Jay Ajayi,5.100,4.340
2,0:11,3,3,TEN 10,7,3,Jay Ajayi up the middle for 1 yard (tackle by Jurrell Casey and Jayon Brown),4.340,2.950
2,0:03,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:03,4,2,TEN 9,10,3,Jake Elliott 27 yard field goal good,2.950,-3.000
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,10,3,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PHI 25,10,3,Carson Wentz pass complete short left to Alshon Jeffery for 7 yards (tackle by Logan Ryan),0.610,1.010
3,14:22,2,3,PHI 32,10,3,Jay Ajayi left tackle for 4 yards (tackle by DaQuan Jones),1.010,1.330
3,13:44,1,10,PHI 36,10,3,Carson Wentz pass complete short middle to Zach Ertz for 24 yards (tackle by Kevin Byard),1.330,2.920
3,12:55,1,10,TEN 40,10,3,"Jay Ajayi left end for 2 yards (tackle by Kevin Byard). Penalty on Jason Peters: Offensive Holding, 10 yards",2.920,2.390
3,12:37,1,18,TEN 48,10,3,Carson Wentz pass complete short left to Dallas Goedert for 10 yards (tackle by Malcolm Butler),2.390,2.640
3,12:01,2,8,TEN 38,10,3,"Carson Wentz pass incomplete short right intended for Dallas Goedert. Penalty on Kevin Byard: Defensive Pass Interference, 13 yards (no play)",2.640,3.910
3,11:55,1,10,TEN 25,10,3,Carson Wentz pass complete short left to Jay Ajayi for 1 yard (tackle by Bennie Logan),3.910,3.500
3,11:10,2,9,TEN 24,10,3,Carson Wentz pass complete short right to Dallas Goedert for 3 yards (tackle by Kevin Byard),3.500,3.200
3,10:22,3,6,TEN 21,10,3,Carson Wentz pass complete short right to Alshon Jeffery for 13 yards (tackle by Malcolm Butler),3.200,5.370
3,9:41,1,8,TEN 8,10,3,"Carson Wentz pass complete short left to Nelson Agholor for -6 yards (tackle by Brian Orakpo). Nelson Agholor fumbles, ball out of bounds at TEN-10 (forced by Brian Orakpo)",5.370,3.460
3,9:15,2,15,TEN 15,10,3,"Carson Wentz pass complete short middle to Nelson Agholor for 3 yards (tackle by William Compton). Penalty on Brandon Brooks: Offensive Holding, 10 yards (no play)",3.460,2.330
3,8:44,2,25,TEN 25,10,3,"Jay Ajayi up the middle for 13 yards (tackle by Kevin Byard). Penalty on Kamar Aiken: Offensive Holding, 10 yards",2.330,2.730
3,8:17,2,22,TEN 22,10,3,Carson Wentz up the middle for 6 yards (tackle by William Compton),2.730,2.850
3,7:44,3,16,TEN 16,16,3,"Carson Wentz pass complete deep right to Alshon Jeffery for 16 yards, touchdown",2.850,7.000
3,7:36,,,TEN 15,17,3,Jake Elliott kicks extra point good,0.000,0.000
3,7:36,,,PHI 35,17,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,7:36,1,10,TEN 25,17,3,Marcus Mariota left end for 3 yards (tackle by Ronald Darby),0.610,0.470
3,7:02,2,7,TEN 28,17,3,Marcus Mariota pass complete short left to Darius Jennings for 6 yards (tackle by Fletcher Cox),0.470,0.560
3,6:38,3,1,TEN 34,17,3,Marcus Mariota pass complete short middle to Corey Davis for 20 yards (tackle by Malcolm Jenkins),0.560,2.520
3,5:51,1,10,PHI 46,17,3,"Marcus Mariota aborted snap, recovered by Nick Williams at TEN-42 (tackle by Jordan Hicks)",2.520,0.360
3,5:10,2,22,TEN 42,17,3,Marcus Mariota pass complete short middle to Dion Lewis for 17 yards (tackle by Ronald Darby),0.360,1.950
3,4:19,3,5,PHI 41,17,3,Marcus Mariota pass complete short left to Tajae Sharpe for 16 yards (tackle by Ronald Darby),1.950,3.910
3,3:46,1,10,PHI 25,17,3,"Marcus Mariota pass incomplete deep right intended for Corey Davis. Penalty on Jalen Mills: Defensive Pass Interference, 20 yards (no play)",3.910,6.060
3,3:40,1,5,PHI 5,17,3,Derrick Henry right guard for 3 yards (tackle by Haloti Ngata),6.060,5.720
3,2:58,2,2,PHI 2,17,9,"Marcus Mariota left end for 2 yards, touchdown",5.720,7.000
3,2:51,,,PHI 15,17,10,Ryan Succop kicks extra point good,0.000,0.000
3,2:51,,,TEN 35,17,10,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
3,2:51,1,10,PHI 25,17,10,Jay Ajayi left guard for 3 yards (tackle by Jayon Brown),0.610,0.470
3,2:09,2,7,PHI 28,17,10,Carson Wentz pass complete short left to Nelson Agholor for 8 yards (tackle by Adoree' Jackson),0.470,1.330
3,1:26,1,10,PHI 36,17,10,Carson Wentz right end for 2 yards (tackle by Harold Landry),1.330,1.060
3,0:40,2,8,PHI 38,17,10,Carson Wentz pass complete short left to Jay Ajayi for 12 yards (tackle by Sharif Finch and Rashaan Evans),1.060,2.260
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 50,17,10,Carson Wentz sacked by Jayon Brown for -10 yards,2.260,0.360
4,14:15,2,20,PHI 40,17,10,Carson Wentz pass incomplete short middle intended for Jordan Matthews,0.360,-0.300
4,14:09,3,20,PHI 40,17,10,"Carson Wentz sacked by Harold Landry for -5 yards. Carson Wentz fumbles (forced by Harold Landry), recovered by Derrick Morgan at PHI-35 (tackle by Brandon Brooks)",-0.300,-3.250
4,14:03,1,10,PHI 35,17,10,Marcus Mariota pass complete short right to Taywan Taylor for 6 yards,3.250,3.510
4,13:27,2,4,PHI 29,17,10,Marcus Mariota pass complete short middle to Dion Lewis for 3 yards (tackle by Malcolm Jenkins),3.510,3.200
4,12:46,3,1,PHI 26,17,10,Dion Lewis up the middle for no gain (tackle by Corey Graham and Malcolm Jenkins),3.200,1.890
4,12:09,4,1,PHI 26,17,10,Marcus Mariota pass complete short right to Dion Lewis for 11 yards (tackle by Corey Graham),1.890,4.580
4,11:25,1,10,PHI 15,17,10,Derrick Henry left tackle for 4 yards (tackle by Brandon Graham),4.580,4.640
4,10:50,2,6,PHI 11,17,10,Marcus Mariota pass complete short left to Derrick Henry for -6 yards (tackle by Corey Graham),4.640,2.980
4,10:06,3,12,PHI 17,17,10,Marcus Mariota pass complete short left to Dion Lewis for 2 yards (tackle by Ronald Darby and Nigel Bradham),2.980,2.440
4,9:22,4,10,PHI 15,17,13,Ryan Succop 33 yard field goal good,2.440,3.000
4,9:18,,,TEN 35,17,13,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
4,9:18,1,10,PHI 25,17,13,Jay Ajayi right tackle for no gain (tackle by DaQuan Jones),0.610,0.060
4,8:51,2,10,PHI 25,17,13,Carson Wentz pass complete short right to Nelson Agholor for 4 yards (tackle by Adoree' Jackson),0.060,-0.100
4,8:09,3,6,PHI 29,17,13,Carson Wentz pass incomplete short left intended for Nelson Agholor,-0.100,-1.440
4,8:06,4,6,PHI 29,17,13,"Cameron Johnston punts 46 yards, returned by Nick Williams for no gain (tackle by LaRoy Reynolds)",-1.440,-0.610
4,7:55,1,10,TEN 25,17,13,Marcus Mariota pass complete deep middle to Corey Davis for 51 yards (tackle by Jalen Mills),0.610,3.970
4,7:06,1,10,PHI 24,17,13,Marcus Mariota left guard for 8 yards (tackle by Corey Graham),3.970,4.650
4,6:24,2,2,PHI 16,17,13,Marcus Mariota pass complete short middle to Taywan Taylor for 7 yards (tackle by Corey Graham and Nigel Bradham),4.650,5.140
4,5:47,1,9,PHI 9,17,13,Derrick Henry up the middle for -2 yards (tackle by Brandon Graham),5.140,4.020
4,5:06,2,11,PHI 11,17,19,"Marcus Mariota pass complete short right to Tajae Sharpe for 11 yards, touchdown",4.020,7.000
4,5:01,,,PHI 15,17,20,Ryan Succop kicks extra point good,0.000,0.000
4,5:01,,,TEN 35,17,20,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
4,5:00,1,10,PHI 25,17,20,Carson Wentz pass incomplete short right intended for Wendell Smallwood,0.610,0.060
4,4:55,2,10,PHI 25,17,20,Carson Wentz pass complete short left to Wendell Smallwood for 11 yards (tackle by Logan Ryan),0.060,1.330
4,4:25,1,10,PHI 36,17,20,Wendell Smallwood left tackle for 2 yards (tackle by Jayon Brown and Rashaan Evans),1.330,1.060
4,3:46,2,8,PHI 38,17,20,Wendell Smallwood right guard for 4 yards (tackle by Jayon Brown),1.060,0.890
4,3:03,3,4,PHI 42,17,20,Carson Wentz pass incomplete short middle intended for Zach Ertz,0.890,-0.590
4,2:59,4,4,PHI 42,17,20,"Cameron Johnston punts 58 yards, touchback.",-0.590,-0.280
4,2:50,1,10,TEN 20,17,20,Marcus Mariota right tackle for 1 yard (tackle by Nigel Bradham),0.280,-0.130
4,2:05,2,9,TEN 21,17,20,Marcus Mariota pass complete short left to Corey Davis for 6 yards (tackle by Ronald Darby),-0.130,-0.030
4,1:59,3,3,TEN 27,17,20,Marcus Mariota pass complete short right to Corey Davis for no gain (tackle by Jordan Hicks and Brandon Graham),-0.030,-1.570
4,1:54,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:54,4,3,TEN 27,17,20,"Brett Kern punts 54 yards, returned by DeAndre Carter for 42 yards (tackle by Brett Kern)",-1.570,-2.980
4,1:41,1,10,TEN 39,17,20,Carson Wentz pass complete short right to Zach Ertz for 5 yards (tackle by Jayon Brown),2.980,3.120
4,1:17,2,5,TEN 34,17,20,Carson Wentz pass complete short left to Alshon Jeffery for 15 yards (tackle by Kendrick Lewis),3.120,4.310
4,1:03,,,,,,Timeout #1 by Tennessee Titans,,
4,1:03,1,10,TEN 19,17,20,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,4.310,3.750
4,0:57,2,10,TEN 19,17,20,Carson Wentz pass complete short left to Wendell Smallwood for 7 yards (tackle by William Compton),3.750,4.190
4,0:26,3,3,TEN 12,17,20,Carson Wentz pass incomplete short right intended for Jordan Matthews,4.190,2.730
4,0:21,4,3,TEN 12,20,20,Jake Elliott 30 yard field goal good,2.730,3.000
4,0:16,,,PHI 35,20,20,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,0:16,1,10,TEN 25,20,20,Marcus Mariota kneels for -1 yards,0.610,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
,,,,,,,"Eagles won the coin toss, Eagles to receive the overtime kickoff.",,
OT,10:00,,,TEN 35,20,20,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
OT,9:59,1,10,PHI 25,20,20,Jay Ajayi left end for 7 yards (tackle by Kendrick Lewis),0.610,1.010
OT,9:19,2,3,PHI 32,20,20,Jay Ajayi left guard for 9 yards (tackle by Malcolm Butler),1.010,1.660
OT,8:55,1,10,PHI 41,20,20,Carson Wentz pass complete short left to Alshon Jeffery for 14 yards (tackle by Rashaan Evans),1.660,2.590
OT,8:17,1,10,TEN 45,20,20,Wendell Smallwood left end for 13 yards (tackle by Malcolm Butler),2.590,3.450
OT,7:39,1,10,TEN 32,20,20,Jay Ajayi up the middle for 15 yards (tackle by Kendrick Lewis and Kevin Byard). Penalty on Jurrell Casey: Defensive Offside (Declined),3.450,4.440
OT,7:14,1,10,TEN 17,20,20,Jay Ajayi up the middle for -2 yards (tackle by Jurrell Casey),4.440,3.600
OT,6:33,2,12,TEN 19,20,20,Carson Wentz pass incomplete short right intended for Nelson Agholor,3.600,2.910
OT,6:30,3,12,TEN 19,20,20,Carson Wentz pass incomplete short left intended for Zach Ertz (defended by William Compton),2.910,2.180
OT,6:23,4,12,TEN 19,23,20,Jake Elliott 37 yard field goal good,2.180,3.000
OT,6:19,,,PHI 35,23,20,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
OT,6:19,1,10,TEN 25,23,20,Marcus Mariota right end for 7 yards (tackle by Jordan Hicks),0.610,1.010
OT,5:47,2,3,TEN 32,23,20,Marcus Mariota pass complete short left to Corey Davis for 4 yards (tackle by Jordan Hicks),1.010,1.330
OT,5:11,1,10,TEN 36,23,20,Marcus Mariota pass incomplete deep middle intended for Darius Jennings,1.330,0.790
OT,5:04,2,10,TEN 36,23,20,Marcus Mariota pass incomplete short left intended for Jonnu Smith (defended by Malcolm Jenkins),0.790,0.100
OT,4:58,3,10,TEN 36,23,20,Marcus Mariota pass incomplete deep left intended for Corey Davis,0.100,-0.980
OT,4:51,,,,,,Timeout #1 by Tennessee Titans,,
OT,4:51,4,10,TEN 36,23,20,"Penalty on Josh Kline: False Start, 5 yards (no play)",-0.980,-1.310
OT,4:51,4,15,TEN 31,23,20,Marcus Mariota pass complete deep left to Taywan Taylor for 19 yards,-1.310,2.260
OT,4:45,1,10,TEN 50,23,20,Derrick Henry left end for 8 yards (tackle by Jordan Hicks and Haloti Ngata),2.260,2.790
OT,3:55,2,2,PHI 42,23,20,Marcus Mariota pass complete short right to Dion Lewis for -2 yards (tackle by Malcolm Jenkins),2.790,1.820
OT,3:09,3,4,PHI 44,23,20,Marcus Mariota pass incomplete short right intended for Corey Davis,1.820,0.330
OT,3:06,4,4,PHI 44,23,20,"Marcus Mariota pass incomplete short middle intended for Nick Williams. Penalty on Sidney Jones: Defensive Pass Interference, 4 yards (no play)",0.330,2.920
OT,3:02,1,10,PHI 40,23,20,Derrick Henry left end for -4 yards (tackle by Malcolm Jenkins),2.920,1.830
OT,2:17,2,14,PHI 44,23,20,Marcus Mariota sacked by Haloti Ngata for -5 yards,1.830,0.500
OT,2:00,3,19,PHI 49,23,20,Marcus Mariota up the middle for 17 yards (tackle by Jordan Hicks),0.500,1.300
OT,1:17,,,,,,Timeout #2 by Tennessee Titans,,
OT,1:17,,,,,,Timeout #1 by Philadelphia Eagles,,
OT,1:17,4,2,PHI 32,23,20,Marcus Mariota pass complete short right to Dion Lewis for 17 yards (tackle by Jalen Mills and Kamu Grugier-Hill),1.300,4.580
OT,0:30,1,10,PHI 15,23,20,"Marcus Mariota pass incomplete short left intended for Jonnu Smith. Penalty on Malcolm Jenkins: Defensive Holding, 5 yards (no play)",4.580,4.910
OT,0:24,1,10,PHI 10,23,20,Marcus Mariota pass incomplete short right intended for Tajae Sharpe,4.910,4.190
OT,0:20,2,10,PHI 10,23,20,Marcus Mariota pass incomplete short left intended for Corey Davis,4.190,3.130
OT,0:17,3,10,PHI 10,23,26,"Marcus Mariota pass complete short right to Corey Davis for 10 yards, touchdown",3.130,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
