Unnamed: 0,PHI,TEN
First Downs,25,22
Rush-Yds-TDs,22-117-0,22-70-1
Cmp-Att-Yd-TD-INT,33-50-348-2-0,30-43-344-2-1
Sacked-Yards,4-33,3-17
Net Pass Yards,315,327
Total Yards,432,397
Fumbles-Lost,3-1,1-0
Turnovers,1,1
Penalties-Yards,8-77,4-30
Third Down Conv.,5-15,5-16
Fourth Down Conv.,0-0,3-3
Time of Possession,34:25,35:30
