Unnamed: 0,MIN,IND
First Downs,19,17
Rush-Yds-TDs,26-95-0,30-84-0
Cmp-Att-Yd-TD-INT,27-35-245-2-0,20-31-224-2-0
Sacked-Yards,4-13,2-30
Net Pass Yards,232,194
Total Yards,327,278
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,11-105,7-51
Third Down Conv.,7-15,7-16
Fourth Down Conv.,1-1,0-0
Time of Possession,30:22,29:38
