Quarter,Time,Tm,Detail,MIN,IND
1.0,7:48,Vikings,Blair Walsh 51 yard field goal,3,0
,0:49,Colts,Dwayne Allen 3 yard pass from Andrew Luck (Adam Vinatieri kick),3,7
2.0,11:38,Vikings,Blair Walsh 29 yard field goal,6,7
,1:49,Colts,Adam Vinatieri 26 yard field goal,6,10
,0:07,Colts,Reggie Wayne 30 yard pass from Andrew Luck (Adam Vinatieri kick),6,17
3.0,7:06,Colts,Adam Vinatieri 45 yard field goal,6,20
4.0,5:07,Vikings,Stephen Burton 7 yard pass from Christian Ponder (Blair Walsh kick),13,20
,0:31,Vikings,Kyle Rudolph 6 yard pass from Christian Ponder (Blair Walsh kick),20,20
,0:08,Colts,Adam Vinatieri 53 yard field goal,20,23
