Quarter,Time,Down,ToGo,Location,MIN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 70 yards, returned by Percy Harvin for 28 yards (tackle by Mario Addison)",0.000,0.480
1,14:55,1,10,MIN 23,0,0,Adrian Peterson right guard for 5 yards (tackle by Robert Mathis and Jerrell Freeman),0.480,0.610
1,14:17,2,5,MIN 28,0,0,Christian Ponder pass complete short left to Percy Harvin for 11 yards (tackle by Vontae Davis),0.610,1.530
1,13:50,1,10,MIN 39,0,0,Christian Ponder sacked by Robert Mathis for -1 yards,1.530,0.850
1,13:21,2,11,MIN 38,0,0,Adrian Peterson up the middle for 5 yards (tackle by Antoine Bethea),0.850,0.830
1,12:38,3,6,MIN 43,0,0,Christian Ponder pass complete short left to Percy Harvin for 8 yards (tackle by Vontae Davis),0.830,2.320
1,12:00,1,10,IND 49,0,0,Adrian Peterson left end for 6 yards (tackle by Tom Zbikowski and Vontae Davis),2.320,2.590
1,11:30,2,4,IND 43,0,0,Percy Harvin right end for -7 yards (tackle by Antoine Bethea),2.590,0.960
1,10:50,3,11,,0,0,Christian Ponder pass complete short left to Toby Gerhart for 12 yards (tackle by Vontae Davis),0.960,3.050
1,10:08,1,10,IND 38,0,0,Toby Gerhart up the middle for 8 yards (tackle by Jerrell Freeman),3.050,3.590
1,9:31,2,2,IND 30,0,0,"Adrian Peterson left tackle for 9 yards (tackle by Jerrell Freeman). Penalty on Charlie Johnson: Offensive Holding, 10 yards (no play)",3.590,2.240
1,9:08,2,12,IND 40,0,0,"Christian Ponder pass incomplete short right intended for Percy Harvin. Penalty on Phil Loadholt: Illegal Formation, 5 yards (no play)",2.240,1.560
1,9:05,2,17,IND 45,0,0,Adrian Peterson up the middle for 5 yards (tackle by Jerrell Freeman and Cory Redding),1.560,1.550
1,8:30,3,12,IND 40,0,0,Christian Ponder pass complete short right to Michael Jenkins for 7 yards (tackle by Jerraud Powers),1.550,1.170
1,7:53,4,5,IND 33,3,0,Blair Walsh 51 yard field goal good,1.170,3.000
1,7:48,,,MIN 35,3,0,"Blair Walsh kicks off 74 yards, touchback",0.000,0.280
1,7:48,1,10,IND 20,3,0,Donald Brown up the middle for 2 yards (tackle by Erin Henderson and Harrison Smith),0.280,0.000
1,7:11,2,8,IND 22,3,0,Donald Brown left end for 4 yards (tackle by Marcus Sherels and Harrison Smith),0.000,-0.160
1,6:24,3,4,IND 26,3,0,Andrew Luck up the middle for 7 yards (tackle by Antoine Winfield),-0.160,1.140
1,5:43,1,10,IND 33,3,0,"Penalty on Christian Ballard: Encroachment, 5 yards (no play)",1.140,1.870
1,5:28,1,5,IND 38,3,0,Andrew Luck right end for 6 yards (tackle by Erin Henderson),1.870,1.860
1,4:43,1,10,IND 44,3,0,Andrew Luck pass incomplete short left intended for Kris Adams,1.860,1.320
1,4:38,2,10,IND 44,3,0,Donald Brown right end for 1 yard (tackle by Chad Greenway),1.320,0.760
1,3:58,3,9,IND 45,3,0,Andrew Luck pass complete short right to Donnie Avery for 13 yards (tackle by Erin Henderson),0.760,2.790
1,3:29,1,10,MIN 42,3,0,"Donald Brown up the middle for 2 yards (tackle by Erin Henderson). Penalty on Dwayne Allen: Personal Foul, 15 yards",2.790,1.930
1,3:04,1,23,IND 45,3,0,Andrew Luck pass complete short left to Donnie Avery for 11 yards (tackle by Harrison Smith),1.930,1.970
1,2:18,2,12,MIN 44,3,0,Andrew Luck pass complete deep right to Donnie Avery for 41 yards (tackle by Antoine Winfield),1.970,6.510
1,1:38,1,3,MIN 3,3,0,Donald Brown left tackle for no gain (tackle by Chad Greenway),6.510,5.530
1,0:58,2,3,MIN 3,3,0,Andrew Luck pass incomplete short right intended for Coby Fleener,5.530,4.720
1,0:54,3,3,MIN 3,3,6,"Andrew Luck pass complete short left to Dwayne Allen for 3 yards, touchdown",4.720,7.000
1,0:54,,,MIN 2,3,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,0:49,,,IND 35,3,7,"Pat McAfee kicks off 72 yards, returned by Percy Harvin for 50 yards (tackle by Pat McAfee)",0.000,1.800
1,0:43,1,10,MIN 43,3,7,Adrian Peterson right end for 3 yards (tackle by Jerrell Freeman),1.800,1.660
1,0:05,2,7,MIN 46,3,7,Percy Harvin left end for 20 yards (tackle by Antoine Bethea),1.660,3.310
Quarter,Time,Down,ToGo,Location,MIN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 34,3,7,Christian Ponder pass complete short right to Percy Harvin for 8 yards (tackle by Jerraud Powers),3.310,3.850
2,14:28,2,2,IND 26,3,7,Toby Gerhart up the middle for 1 yard (tackle by Robert Mathis and Drake Nevis),3.850,0.000
2,13:53,,,,3,7,Timeout #1 by Indianapolis Colts,0.000,3.270
2,13:53,3,1,IND 25,3,7,Adrian Peterson up the middle for 6 yards (tackle by Robert Mathis),3.270,4.310
2,13:16,1,10,IND 19,3,7,Toby Gerhart right end for -2 yards (tackle by Cory Redding and Fili Moala),4.310,3.490
2,12:38,2,12,IND 21,3,7,Christian Ponder left end for 5 yards (tackle by Jerry Hughes),3.490,3.410
2,11:59,3,7,IND 16,3,7,Christian Ponder pass complete short right to Percy Harvin for 5 yards (tackle by Jerraud Powers),3.410,2.820
2,11:42,4,2,IND 11,6,7,Blair Walsh 29 yard field goal good,2.820,3.000
