Quarter,Time,Tm,Detail,CAR,CHI
1.0,5:46,Panthers,Ihmir Smith-Marsette 79 yard punt return (Eddy Pineiro kick),7,0
,2:29,Bears,Cairo Santos 54 yard field goal,7,3
2.0,13:33,Panthers,Eddy Pineiro 33 yard field goal,10,3
,3:06,Bears,Cairo Santos 36 yard field goal,10,6
,0:00,Bears,Cairo Santos 39 yard field goal,10,9
3.0,6:33,Bears,D'Onta Foreman 4 yard rush (Cairo Santos kick),10,16
4.0,11:06,Panthers,Eddy Pineiro 39 yard field goal,13,16
