Unnamed: 0,CAR,CHI
First Downs,12,21
Rush-Yds-TDs,16-43-0,37-133-1
Cmp-Att-Yd-TD-INT,21-38-185-0-0,20-33-162-0-0
Sacked-Yards,3-15,0-0
Net Pass Yards,170,162
Total Yards,213,295
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,5-45,7-44
Third Down Conv.,3-15,6-15
Fourth Down Conv.,3-3,1-1
Time of Possession,26:29,33:31
