Unnamed: 0,IND,TAM
First Downs,13,25
Rush-Yds-TDs,18-62-0,36-192-2
Cmp-Att-Yd-TD-INT,13-30-281-2-0,25-39-287-1-0
Sacked-Yards,4-25,2-13
Net Pass Yards,256,274
Total Yards,318,466
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,6-50,14-106
Third Down Conv.,4-13,7-17
Fourth Down Conv.,0-0,2-2
Time of Possession,21:00,39:00
