Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Curtis Painter pass incomplete short right intended for Pierre Garcon,0.280,-0.270
1,15:00,2,10,IND 20,0,0,"Penalty on Brian Price: Neutral Zone Infraction, 5 yards (no play)",-0.270,0.410
1,14:55,2,5,IND 25,0,0,Joseph Addai left tackle for 2 yards (tackle by Mason Foster),0.410,-0.030
1,14:16,3,3,IND 27,0,0,Curtis Painter pass complete short middle to Dallas Clark for 6 yards (tackle by Ronde Barber),-0.030,1.140
1,13:40,1,10,IND 33,0,0,Joseph Addai left tackle for 9 yards (tackle by Ronde Barber and Geno Hayes),1.140,1.810
1,13:06,2,1,IND 42,0,0,Joseph Addai right end for -1 yards (tackle by Aqib Talib),1.810,0.960
1,12:28,3,2,IND 41,0,0,Curtis Painter pass complete short left to Reggie Wayne for 9 yards (tackle by E.J. Biggers),0.960,2.260
1,11:49,1,10,,0,0,Curtis Painter pass complete short right to Dallas Clark for 21 yards (tackle by Sean Jones),2.260,3.640
1,11:21,1,10,TAM 29,0,0,Curtis Painter pass incomplete short right intended for Pierre Garcon (defended by Da'Quan Bowers),3.640,3.100
1,11:17,2,10,TAM 29,0,0,Delone Carter left guard for 2 yards (tackle by Da'Quan Bowers and Gerald McCoy),3.100,2.680
1,10:36,3,8,TAM 27,0,0,Curtis Painter pass incomplete short left intended for Reggie Wayne,2.680,1.670
1,10:31,4,8,TAM 27,3,0,Adam Vinatieri 45 yard field goal good,1.670,3.000
1,,,,IND 35,3,0,"Pat McAfee kicks off 71 yards, touchback",0.000,0.280
1,10:26,1,10,TAM 20,3,0,LeGarrette Blount left guard for 3 yards (tackle by Robert Mathis),0.280,0.140
1,9:50,2,7,TAM 23,3,0,LeGarrette Blount right end for 1 yard (tackle by Terrence Johnson and Philip Wheeler),0.140,-0.430
1,9:12,3,6,TAM 24,3,0,Josh Freeman pass incomplete short middle intended for Earnest Graham,-0.430,-1.770
1,9:08,4,6,TAM 24,3,0,"Michael Koenen punts 57 yards, returned by Blair White for -2 yards (tackle by Devin Holland)",-1.770,0.060
1,8:59,1,10,IND 17,3,0,Joseph Addai up the middle for 5 yards (tackle by Adrian Clayborn),-0.060,0.210
1,8:25,2,5,IND 22,3,0,Joseph Addai left guard for 9 yards (tackle by Quincy Black),0.210,1.000
1,7:51,1,10,IND 31,3,0,Curtis Painter pass incomplete deep right intended for Pierre Garcon,1.000,0.460
1,7:46,2,10,IND 31,3,0,Joseph Addai left end for 6 yards (tackle by Geno Hayes),0.460,0.560
1,7:16,3,4,IND 37,3,0,"Curtis Painter sacked by Michael Bennett for -5 yards. Curtis Painter fumbles (forced by Michael Bennett), recovered by Michael Bennett at IND-32 (tackle by Curtis Painter)",0.560,-3.450
1,7:11,1,10,IND 32,3,0,LeGarrette Blount right guard for no gain (tackle by Pat Angerer),3.450,2.900
1,6:31,2,10,IND 32,3,0,Josh Freeman pass complete short right to Luke Stocker for 4 yards (tackle by Antoine Bethea),2.900,2.740
1,5:57,3,6,IND 28,3,0,Josh Freeman pass incomplete short right intended for Mike Williams (defended by Chris Rucker),2.740,1.610
1,5:52,4,6,IND 28,3,0,Connor Barth 46 yard field goal no good,1.610,-1.330
1,5:47,1,10,IND 36,3,0,Delone Carter left tackle for 13 yards (tackle by Corey Lynch),1.330,2.190
1,5:04,1,10,IND 49,3,0,Curtis Painter pass incomplete deep left intended for Austin Collie,2.190,1.650
1,4:59,2,10,IND 49,3,0,Delone Carter left guard for 3 yards (tackle by Gerald McCoy and Da'Quan Bowers),1.650,1.360
1,4:11,3,7,TAM 48,3,0,"Penalty on Adrian Clayborn: Neutral Zone Infraction, 5 yards (no play)",1.360,2.010
1,3:50,3,2,TAM 43,3,0,Curtis Painter pass incomplete short right intended for Dallas Clark,2.010,0.400
1,3:45,4,2,TAM 43,3,0,"Pat McAfee punts 33 yards, fair catch by Preston Parker",0.400,0.380
1,3:38,1,10,TAM 10,3,0,LeGarrette Blount right guard for 13 yards (tackle by Terrence Johnson),-0.380,0.480
1,3:06,1,10,TAM 23,3,0,Josh Freeman pass complete short right to Kellen Winslow Jr. for 7 yards (tackle by Antoine Bethea),0.480,0.880
1,2:39,2,3,TAM 30,3,0,"LeGarrette Blount right guard for 1 yard (tackle by Pat Angerer and Philip Wheeler). Penalty on Kellen Winslow Jr.: Offensive Holding, 10 yards (no play)",0.880,-0.470
1,2:13,2,13,TAM 20,3,0,Josh Freeman pass complete short right to Luke Stocker for 5 yards (tackle by Philip Wheeler),-0.470,-0.490
1,1:31,3,8,TAM 25,3,0,Josh Freeman pass complete short right to Kregg Lumpkin for 10 yards (tackle by Chris Rucker),-0.490,1.270
1,0:49,1,10,TAM 35,3,0,Mike Williams left end for 3 yards (tackle by Antoine Bethea),1.270,1.130
1,0:11,2,7,TAM 38,3,0,"Josh Freeman pass complete deep right to Arrelious Benn for 62 yards. Penalty on Arrelious Benn: Illegal Touch Pass, 5 yards (no play)",1.130,0.450
,,,,,,,"TAM challenged the runner was in bounds ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
