Quarter,Time,Tm,Detail,IND,TAM
1.0,10:26,Colts,Adam Vinatieri 45 yard field goal,3,0
2.0,8:47,Colts,Pierre Garcon 87 yard pass from Curtis Painter (Adam Vinatieri kick),10,0
,3:54,Buccaneers,Josh Freeman 1 yard rush (Connor Barth kick),10,7
3.0,9:43,Buccaneers,Connor Barth 46 yard field goal,10,10
,7:10,Colts,Pierre Garcon 59 yard pass from Curtis Painter (Adam Vinatieri kick),17,10
,0:14,Buccaneers,Preston Parker 13 yard pass from Josh Freeman (Connor Barth kick),17,17
4.0,3:15,Buccaneers,LeGarrette Blount 35 yard rush (Connor Barth kick),17,24
