Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
2,11:47,2,7,MIN 24,7,10,Teddy Bridgewater pass complete short left to Rhett Ellison for 41 yards (tackle by Deone Bucannon),0.210,3.250
2,11:02,1,10,ARI 35,7,10,Adrian Peterson middle for 1 yard (tackle by Tyrann Mathieu and Deone Bucannon),3.250,2.840
2,10:18,2,9,ARI 34,7,10,Teddy Bridgewater pass complete short middle to MyCole Pruitt for 4 yards (tackle by Deone Bucannon),2.840,2.680
2,9:43,3,5,ARI 30,7,10,Teddy Bridgewater pass complete short middle to Jerick McKinnon for 8 yards (tackle by Sean Weatherspoon),2.680,4.110
2,9:00,1,10,ARI 22,7,10,Adrian Peterson left end for -1 yards (tackle by Calais Campbell),4.110,3.430
2,8:19,2,11,ARI 23,7,10,"Teddy Bridgewater pass complete short middle to Jarius Wright for 8 yards (tackle by Deone Bucannon). Jarius Wright fumbles (forced by Deone Bucannon), recovered by Deone Bucannon at ARI-15 (tackle by Jarius Wright)",3.430,0.220
2,8:11,1,10,ARI 15,7,10,David Johnson left tackle for 7 yards (tackle by Xavier Rhodes and Anthony Harris),-0.220,0.350
2,7:50,2,3,ARI 22,7,10,Carson Palmer middle for 5 yards (tackle by Chad Greenway),0.350,0.740
2,7:11,1,10,ARI 27,7,10,Carson Palmer pass complete deep middle to Darren Fells for 26 yards (tackle by Anthony Harris),0.740,2.460
2,6:29,1,10,MIN 47,7,10,David Johnson right tackle for 13 yards (tackle by Anthony Harris),2.460,3.310
2,5:49,1,10,MIN 34,7,10,Kerwynn Williams middle for 2 yards (tackle by Trae Waynes),3.310,3.040
2,5:04,2,8,MIN 32,7,10,Kerwynn Williams middle for -1 yards (tackle by Tom Johnson),3.040,2.210
2,4:24,3,9,MIN 33,7,10,Carson Palmer sacked by Danielle Hunter for -7 yards,2.210,0.590
2,3:52,4,16,MIN 40,7,10,"Drew Butler punts 40 yards, touchback",0.590,-0.280
2,3:44,1,10,MIN 20,7,10,Adrian Peterson right end for 2 yards (tackle by Markus Golden),0.280,0.000
2,3:07,2,8,MIN 22,7,10,Adrian Peterson middle for 6 yards (tackle by Alex Okafor),0.000,0.100
2,2:28,3,2,MIN 28,7,10,Teddy Bridgewater pass complete short right to Kyle Rudolph for 17 yards (tackle by Justin Bethel),0.100,1.930
2,2:00,1,10,MIN 45,7,10,Teddy Bridgewater pass complete deep left to MyCole Pruitt for 32 yards (tackle by Rashad Johnson),1.930,4.040
2,1:52,1,10,ARI 23,7,10,Adrian Peterson middle for -1 yards (tackle by Calais Campbell),4.040,3.360
2,1:09,2,11,ARI 24,7,10,Teddy Bridgewater pass complete short middle to Jarius Wright for 4 yards (tackle by Tyrann Mathieu),3.360,3.200
2,0:26,3,7,ARI 20,7,10,"Teddy Bridgewater pass incomplete deep right intended for Mike Wallace. Penalty on Tyrann Mathieu: Defensive Holding, 5 yards (no play)",3.200,4.580
2,0:21,1,10,ARI 15,7,10,Teddy Bridgewater pass incomplete,4.580,3.950
2,0:14,2,10,ARI 15,7,10,Teddy Bridgewater pass incomplete short left intended for Stefon Diggs,3.950,3.950
2,0:14,2,10,ARI 15,7,10,Timeout #2 by Arizona Cardinals,3.950,3.100
2,0:11,3,10,ARI 15,7,10,Teddy Bridgewater sacked by Calais Campbell for -11 yards,3.100,3.100
2,0:07,3,10,ARI 15,7,10,Timeout #2 by Minnesota Vikings,3.100,1.740
2,0:07,4,21,ARI 26,10,10,Blair Walsh 44 yard field goal good. Penalty on Justin Bethel: Defensive Offside (Declined),1.740,3.000
2,0:07,,,MIN 35,10,10,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,0:02,1,10,ARI 20,10,10,Carson Palmer kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,10,10,"Chandler Catanzaro kicks off 65 yards, returned by Cordarrelle Patterson for 29 yards (tackle by Chandler Catanzaro)",0.000,-0.870
3,14:52,1,10,MIN 29,10,10,Adrian Peterson middle for -3 yards (tackle by Rashad Johnson),0.870,-0.080
3,14:13,2,13,MIN 26,10,10,Teddy Bridgewater pass complete short left to Adam Thielen for 7 yards (tackle by Justin Bethel),-0.080,0.170
3,13:32,3,6,MIN 33,10,10,Teddy Bridgewater pass complete short middle to Kyle Rudolph for 8 yards (tackle by Tyrann Mathieu),0.170,1.660
3,12:53,1,10,MIN 41,10,10,"Adrian Peterson middle for no gain (tackle by Deone Bucannon). Penalty on Red Bryant: Defensive Offside, 5 yards (no play)",1.660,2.390
3,12:33,1,5,MIN 46,10,10,Teddy Bridgewater pass complete short middle to Kyle Rudolph for 14 yards (tackle by Rashad Johnson),2.390,2.920
3,11:53,1,10,ARI 40,10,10,Adrian Peterson middle for 5 yards (tackle by Josh Mauro),2.920,3.050
3,11:25,2,5,ARI 35,10,10,"Adrian Peterson right end for -8 yards (tackle by Josh Mauro). Adrian Peterson fumbles (forced by Josh Mauro), recovered by Alex Okafor at ARI-43 (tackle by Mike Wallace)",3.050,-1.800
3,11:20,1,10,ARI 43,10,10,Carson Palmer pass complete short middle to David Johnson for 5 yards (tackle by Chad Greenway),1.800,1.930
3,10:43,2,5,ARI 48,10,10,David Johnson right tackle for 2 yards (tackle by Tom Johnson),1.930,1.490
3,10:00,3,3,,10,10,Carson Palmer pass complete short right to David Johnson for 6 yards (tackle by Trae Waynes),1.490,2.650
3,9:25,1,10,MIN 44,10,10,David Johnson left tackle for 2 yards (tackle by Edmond Robinson),2.650,2.380
3,8:48,2,8,MIN 42,10,10,Carson Palmer pass incomplete deep middle intended for John Brown (defended by Anthony Harris),2.380,1.690
3,8:41,3,8,MIN 42,10,16,"Carson Palmer pass complete short right to Michael Floyd for 42 yards, touchdown",1.690,7.000
3,8:41,,,MIN 42,10,17,Chandler Catanzaro kicks extra point good,0.000,0.000
3,8:41,,,ARI 35,10,17,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,8:31,1,10,MIN 20,10,17,Adrian Peterson middle for -2 yards (tackle by Deone Bucannon),0.280,-0.630
3,8:00,2,12,MIN 18,10,17,Teddy Bridgewater pass incomplete short right intended for Mike Wallace,-0.630,-1.330
3,7:56,3,12,MIN 18,10,17,Teddy Bridgewater pass complete short left to Matt Asiata for 8 yards (tackle by Alani Fua),-1.330,-1.630
3,7:20,4,4,MIN 26,10,17,"Jeff Locke punts 49 yards, returned by Patrick Peterson for 4 yards (tackle by Scott Crichton)",-1.630,-0.870
3,7:08,1,10,ARI 29,10,17,Carson Palmer pass complete short right to John Brown for 6 yards (tackle by Captain Munnerlyn),0.870,1.140
3,6:29,2,4,ARI 35,10,17,Carson Palmer pass complete short left to Larry Fitzgerald for 7 yards (tackle by Anthony Harris),1.140,1.730
3,5:46,1,10,ARI 42,10,17,David Johnson middle for 1 yard (tackle by Brian Robison),1.730,1.320
3,5:11,2,9,ARI 43,10,17,Carson Palmer pass incomplete short left intended for Michael Floyd (defended by Xavier Rhodes),1.320,0.630
3,5:06,3,9,ARI 43,10,17,Carson Palmer pass complete short left to Michael Floyd for 10 yards (tackle by Xavier Rhodes),0.630,2.460
3,4:28,1,10,MIN 47,10,17,Carson Palmer pass incomplete deep left intended for JJ Nelson (defended by Xavier Rhodes),2.460,1.910
3,4:21,2,10,MIN 47,10,17,David Johnson left tackle for no gain (tackle by Kenrick Ellis),1.910,1.220
3,3:40,3,10,MIN 47,10,17,Carson Palmer pass complete short right to Michael Floyd for 9 yards (tackle by Trae Waynes),1.220,0.720
3,3:21,4,1,MIN 38,10,17,David Johnson middle for 2 yards (tackle by Eric Kendricks),0.720,3.180
3,2:42,1,10,MIN 36,10,17,Carson Palmer pass incomplete deep left intended for Michael Floyd,3.180,2.640
3,2:37,2,10,MIN 36,10,17,Carson Palmer pass complete short right to Darren Fells for 10 yards (tackle by Trae Waynes),2.640,3.840
3,1:57,1,10,MIN 26,10,17,David Johnson left end for 24 yards (tackle by Xavier Rhodes),3.840,6.740
3,1:38,1,2,MIN 2,10,17,Stepfan Taylor middle for no gain (tackle by Anthony Harris),6.740,5.720
3,0:59,2,2,MIN 2,10,17,Carson Palmer sacked by Everson Griffen for -7 yards,5.720,3.360
3,0:15,3,9,MIN 9,10,17,Carson Palmer pass complete short middle to Stepfan Taylor for 4 yards (tackle by Captain Munnerlyn),3.360,3.010
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,MIN 5,10,20,Chandler Catanzaro 23 yard field goal good,3.010,3.000
4,15:00,,,ARI 35,10,20,"Chandler Catanzaro kicks off 70 yards, returned by Cordarrelle Patterson for 41 yards (tackle by Brittan Golden)",0.000,-1.330
4,14:45,1,10,MIN 36,10,20,Adrian Peterson middle for 4 yards (tackle by Alex Okafor),1.330,1.330
4,14:08,2,6,MIN 40,10,20,Adrian Peterson middle for 6 yards (tackle by Rashad Johnson),1.330,1.990
4,13:42,1,10,MIN 46,10,20,Adrian Peterson right tackle for 6 yards (tackle by Justin Bethel and Tony Jefferson),1.990,2.260
4,13:13,2,4,ARI 48,10,20,Teddy Bridgewater pass complete short right to Mike Wallace for 12 yards (tackle by Justin Bethel),2.260,3.180
4,12:35,1,10,ARI 36,10,20,Teddy Bridgewater pass incomplete deep left intended for Stefon Diggs (defended by Patrick Peterson),3.180,2.640
4,12:25,2,10,ARI 36,10,20,Teddy Bridgewater pass incomplete short left intended for Mike Wallace (defended by Tyrann Mathieu),2.640,1.950
4,12:22,3,10,ARI 36,10,20,Teddy Bridgewater pass incomplete,1.950,0.880
4,12:15,4,10,ARI 36,13,20,Blair Walsh 54 yard field goal good,0.880,3.000
4,12:15,,,MIN 35,13,20,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
4,12:10,1,10,ARI 20,13,20,Kerwynn Williams left tackle for 7 yards (tackle by Eric Kendricks),0.280,0.680
4,11:35,2,3,ARI 27,13,20,Kerwynn Williams right tackle for 2 yards (tackle by Tom Johnson),0.680,0.230
4,10:53,3,1,ARI 29,13,20,Kerwynn Williams middle for no gain (tackle by Danielle Hunter),0.230,-1.440
4,10:21,4,1,ARI 29,13,20,"Drew Butler punts 49 yards, returned by Marcus Sherels for 33 yards (tackle by Brittan Golden). Penalty on Josh Robinson: Offensive Holding, 10 yards",-1.440,0.350
4,10:05,1,10,MIN 12,13,20,Adrian Peterson middle for 3 yards (tackle by Kevin Minter),-0.350,-0.500
4,9:25,2,7,MIN 15,13,20,Teddy Bridgewater pass complete short left to Stefon Diggs for 7 yards (tackle by Kevin Minter),-0.500,0.410
4,8:44,1,10,MIN 22,13,20,"Teddy Bridgewater pass incomplete deep right intended for Mike Wallace. Penalty on Patrick Peterson: Defensive Holding (Declined), Penalty on Xavier Williams: Roughing the Passer, 15 yards (no play)",0.410,1.400
4,8:37,1,10,MIN 37,13,20,Adrian Peterson right tackle for -2 yards (tackle by Tyrann Mathieu),1.400,0.590
4,8:00,2,12,MIN 35,13,20,Teddy Bridgewater pass complete short left to Adrian Peterson for 17 yards (tackle by Patrick Peterson),0.590,2.390
4,7:43,1,10,ARI 48,13,20,Adrian Peterson right tackle for 1 yard (tackle by Deone Bucannon),2.390,1.980
4,7:15,2,9,ARI 47,13,20,Teddy Bridgewater pass incomplete,1.980,1.290
4,7:06,3,9,ARI 47,13,20,Teddy Bridgewater pass complete short middle to Mike Wallace for 23 yards (tackle by Tyrann Mathieu),1.290,3.970
4,6:34,1,10,ARI 24,13,20,"Adrian Peterson right end for 10 yards (tackle by Justin Bethel). Penalty on Mike Harris: Offensive Holding, 10 yards (no play)",3.970,3.310
