Quarter,Time,Tm,Detail,MIN,ARI
1.0,7:23,Cardinals,Chandler Catanzaro 27 yard field goal,0,3
,3:57,Vikings,Adrian Peterson 9 yard rush (Blair Walsh kick),7,3
,1:43,Cardinals,John Brown 65 yard pass from Carson Palmer (Chandler Catanzaro kick),7,10
2.0,0:02,Vikings,Blair Walsh 44 yard field goal,10,10
3.0,8:31,Cardinals,Michael Floyd 42 yard pass from Carson Palmer (Chandler Catanzaro kick),10,17
4.0,14:55,Cardinals,Chandler Catanzaro 23 yard field goal,10,20
,12:10,Vikings,Blair Walsh 54 yard field goal,13,20
,4:55,Vikings,Mike Wallace 7 yard pass from Teddy Bridgewater (Blair Walsh kick),20,20
,1:23,Cardinals,Chandler Catanzaro 47 yard field goal,20,23
