Unnamed: 0,MIN,ARI
First Downs,23,22
Rush-Yds-TDs,24-72-1,29-97-0
Cmp-Att-Yd-TD-INT,25-36-335-1-0,25-35-310-2-0
Sacked-Yards,3-18,2-14
Net Pass Yards,317,296
Total Yards,389,393
Fumbles-Lost,3-3,0-0
Turnovers,3,0
Penalties-Yards,3-25,4-30
Third Down Conv.,6-11,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,28:01,31:59
