Unnamed: 0,GNB,ATL
First Downs,24,25
Rush-Yds-TDs,19-108-0,19-90-1
Cmp-Att-Yd-TD-INT,28-38-246-4-0,28-35-288-3-0
Sacked-Yards,3-23,2-11
Net Pass Yards,223,277
Total Yards,331,367
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,6-68,7-46
Third Down Conv.,6-10,4-9
Fourth Down Conv.,0-1,1-1
Time of Possession,31:17,28:43
