Quarter,Time,Down,ToGo,Location,NYJ,NOR,Detail,EPB,EPA
1,8:06,1,10,NYJ 20,0,3,Mark Sanchez pass complete short left to Dustin Keller for 6 yards (tackle by Tracy Porter and Darren Sharper),0.280,0.540
1,7:24,2,4,NYJ 26,0,3,Mark Sanchez pass complete short right to Jerricho Cotchery for 11 yards (tackle by Jabari Greer and Will Smith),0.540,1.400
1,6:54,1,10,NYJ 37,0,3,Thomas Jones right guard for 3 yards (tackle by Roman Harper and Jonathan Vilma),1.400,1.260
1,6:12,2,7,NYJ 40,0,3,"Thomas Jones right guard for no gain (tackle by Scott Fujita). Penalty on Tracy Porter: Personal Foul, 15 yards",1.260,2.590
1,5:38,1,10,NOR 45,0,3,Mark Sanchez pass incomplete short middle intended for Brad Smith,2.590,2.040
1,5:33,,,,0,3,Timeout #1 by New York Jets,0.000,2.040
1,5:33,2,10,NOR 45,0,3,Mark Sanchez pass complete short right to Jerricho Cotchery for 7 yards (tackle by Jabari Greer),2.040,2.280
1,4:55,3,3,NOR 38,0,3,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery (defended by Jabari Greer),2.280,0.720
1,4:50,4,3,NOR 38,0,3,Steve Weatherford punts 34 yards,0.720,0.380
1,4:39,1,10,NOR 4,0,3,Pierre Thomas left end for -2 yards (tackle by Bart Scott),-0.380,-0.930
1,3:58,2,12,NOR 2,0,3,Drew Brees pass complete short right to Jeremy Shockey for 4 yards (tackle by David Harris),-0.930,-1.190
1,3:14,,,,0,3,Timeout #1 by New Orleans Saints,0.000,-1.190
1,3:14,3,8,NOR 6,0,3,Drew Brees pass incomplete short right intended for Devery Henderson,-1.190,-2.490
1,3:07,4,8,NOR 6,0,3,Thomas Morstead punts 43 yards,-2.490,-2.320
1,2:59,1,10,NOR 49,0,3,Brad Smith right end for 18 yards (tackle by Scott Shanle),2.320,3.510
1,2:33,1,10,NOR 31,0,3,Leon Washington right guard for 2 yards (tackle by Darren Sharper and Jonathan Vilma),3.510,3.240
1,1:53,2,8,NOR 29,0,3,Thomas Jones left guard for 3 yards (tackle by Scott Shanle),3.240,2.940
1,1:10,3,5,NOR 26,0,3,Mark Sanchez pass complete short right to Jerricho Cotchery for 9 yards (tackle by Roman Harper),2.940,4.440
1,0:32,1,10,NOR 17,0,3,Brad Smith right end for 2 yards (tackle by Charles Grant),4.440,4.150
Quarter,Time,Down,ToGo,Location,NYJ,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,NOR 15,0,9,"Mark Sanchez pass incomplete short left intended for Dustin Keller is intercepted by Darren Sharper at NOR-1 and returned for 99 yards, touchdown. Penalty on Mark Sanchez: Low Block, 15 yards",4.150,-7.000
2,,,,NYJ 2,0,10,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 45,0,10,"Thomas Morstead kicks off 55 yards, touchback",0.000,0.280
2,14:45,1,10,NYJ 20,0,10,Thomas Jones left guard for no gain (tackle by Roman Harper),0.280,-0.270
2,14:08,2,10,NYJ 20,0,10,Mark Sanchez pass complete short left to Chansi Stuckey for 8 yards (tackle by Tracy Porter),-0.270,0.100
2,13:36,3,2,NYJ 28,0,10,Mark Sanchez pass incomplete short right intended for Dustin Keller,0.100,-1.500
2,13:32,4,2,NYJ 28,0,10,"Steve Weatherford punts 27 yards. Penalty on Courtney Roby: Illegal Use of Hands, 10 yards",-1.500,-1.270
2,13:26,1,10,NOR 35,0,10,Reggie Bush for 12 yards (tackle by Dwight Lowery),1.270,2.060
2,12:53,1,10,NOR 47,0,10,Drew Brees pass incomplete deep left intended for Robert Meachem,2.060,1.520
2,12:45,2,10,NOR 47,0,10,Drew Brees pass complete short right to Marques Colston for 16 yards (tackle by Bart Scott),1.520,3.120
2,12:07,1,10,NYJ 37,0,10,Reggie Bush left end for no gain (tackle by Darrelle Revis),3.120,2.570
2,11:24,2,10,NYJ 37,0,10,Drew Brees pass complete short left to Pierre Thomas for 36 yards (tackle by David Harris),2.570,6.970
2,11:00,1,1,NYJ 1,0,10,Pierre Thomas left guard for -1 yards (tackle by Bart Scott and Eric Smith),6.970,5.720
2,10:24,2,2,NYJ 2,0,10,Heath Evans right tackle for 1 yard (tackle by Jim Leonhard),5.720,5.170
2,9:58,3,1,NYJ 1,0,10,Drew Brees pass incomplete short right intended for Jeremy Shockey,5.170,3.550
2,9:52,4,1,NYJ 1,0,10,Drew Brees pass incomplete short right intended for Jamar Nesbit (defended by Bryan Thomas),3.550,0.380
2,9:46,1,10,NYJ 2,0,10,Thomas Jones right guard for 3 yards (tackle by Scott Fujita and Jonathan Vilma),-0.380,-0.560
2,9:09,2,7,NYJ 5,0,16,"Mark Sanchez sacked by Will Smith for -5 yards. Mark Sanchez fumbles (forced by Will Smith), recovered by Remi Ayodele at NYJ-0, touchdown",-0.560,-7.000
2,,,,NYJ 2,0,17,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,0,17,"Thomas Morstead kicks off 70 yards, touchback",0.000,0.280
2,9:00,1,10,NYJ 20,0,17,Shonn Greene right tackle for 9 yards (tackle by Charles Grant and Scott Shanle),0.280,0.950
2,8:23,2,1,NYJ 29,0,17,Shonn Greene left tackle for 7 yards (tackle by Charles Grant),0.950,1.330
2,7:49,1,10,NYJ 36,0,17,Mark Sanchez pass complete short left to Brad Smith for 4 yards (tackle by Tracy Porter),1.330,1.330
2,7:11,2,6,NYJ 40,0,17,Mark Sanchez left guard for 4 yards (tackle by Anthony Hargrove),1.330,1.160
2,6:33,3,2,NYJ 44,0,17,Leon Washington right tackle for 5 yards (tackle by Darren Sharper and Scott Shanle),1.160,2.190
2,6:00,1,10,NYJ 49,0,17,Mark Sanchez for 12 yards (tackle by Roman Harper),2.190,2.980
2,5:28,1,10,NOR 39,0,17,Thomas Jones right guard for 3 yards (tackle by Jeff Charleston),2.980,2.850
2,4:52,2,7,NOR 36,0,17,Shonn Greene left tackle for 4 yards (tackle by Sedrick Ellis),2.850,2.680
2,4:10,3,3,NOR 32,0,17,Mark Sanchez pass complete short left to Leon Washington for 2 yards (tackle by Darren Sharper),2.680,1.520
2,3:23,,,,0,17,Timeout #2 by New Orleans Saints,0.000,1.520
2,3:23,4,1,NOR 30,0,17,Mark Sanchez left end for 4 yards (tackle by Roman Harper),1.520,3.840
2,2:54,1,10,NOR 26,0,17,Leon Washington right guard for 3 yards (tackle by Scott Shanle),3.840,3.700
2,2:09,2,7,NOR 23,0,17,Mark Sanchez pass complete short right to Leon Washington for 3 yards (tackle by Jabari Greer and Darren Sharper),3.700,3.400
2,1:57,3,4,NOR 20,0,17,Mark Sanchez pass incomplete deep right intended for Brad Smith (defended by Jabari Greer),3.400,2.200
2,1:52,4,4,NOR 20,3,17,Jay Feely 38 yard field goal good,2.200,3.000
2,,,,NYJ 30,3,17,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
2,1:48,1,10,NOR 20,3,17,Drew Brees pass incomplete deep right intended for Marques Colston,0.280,-0.270
2,1:42,2,10,NOR 20,3,17,Drew Brees pass complete short right to Jeremy Shockey for 5 yards (tackle by David Harris),-0.270,-0.300
2,1:06,3,5,NOR 25,3,17,Drew Brees pass complete short middle to Marques Colston for 17 yards (tackle by Drew Coleman),-0.300,1.730
2,0:59,,,,3,17,Timeout #3 by New Orleans Saints,0.000,1.730
2,0:59,1,10,NOR 42,3,17,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Darrelle Revis),1.730,1.190
2,0:54,2,10,NOR 42,3,17,Drew Brees pass incomplete short left intended for Heath Evans,1.190,0.500
2,0:54,3,10,NOR 42,3,17,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",0.500,-0.160
2,0:49,3,15,NOR 37,3,17,Drew Brees pass incomplete deep right intended for Devery Henderson,-0.160,-0.910
2,0:43,4,15,NOR 37,3,17,"Thomas Morstead punts 38 yards, fair catch by Jim Leonhard",-0.910,-0.610
2,0:36,1,10,NYJ 25,3,17,Mark Sanchez sacked by Charles Grant for -5 yards,0.610,-0.610
2,0:15,2,15,NYJ 20,3,17,Mark Sanchez pass complete short left to Leon Washington for 4 yards (tackle by Darren Sharper and Tracy Porter),-0.610,-0.760
Quarter,Time,Down,ToGo,Location,NYJ,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,3,17,"Thomas Morstead kicks off 73 yards, returned by Leon Washington for 17 yards (tackle by Courtney Roby)",0.000,-0.280
3,14:55,1,10,NYJ 14,3,17,Mark Sanchez sacked by Charles Grant for -5 yards,-0.280,-1.150
3,14:19,2,15,NYJ 9,3,17,"Mark Sanchez pass complete deep middle to Dustin Keller for 23 yards (tackle by Roman Harper and Darren Sharper). Penalty on Darren Sharper: Personal Foul, 15 yards",-1.150,2.060
3,13:54,1,10,NYJ 47,3,17,Shonn Greene right tackle for 3 yards (tackle by Jonathan Vilma),2.060,1.920
3,13:15,2,7,,3,17,Mark Sanchez pass incomplete short right intended for Leon Washington,1.920,1.220
3,13:09,3,7,,3,17,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery (defended by Jabari Greer),1.220,-0.060
3,13:04,4,7,,3,17,"Steve Weatherford punts 36 yards, fair catch by Reggie Bush",-0.060,0.280
3,12:56,1,10,NOR 14,3,17,Drew Brees pass incomplete deep left intended for Marques Colston,-0.280,-0.750
3,12:50,2,10,NOR 14,3,17,Drew Brees pass complete short left to Pierre Thomas for 2 yards (tackle by Kerry Rhodes),-0.750,-1.160
3,12:04,3,8,NOR 16,3,17,Drew Brees pass incomplete short left intended for Robert Meachem (defended by Darrelle Revis),-1.160,-2.390
3,11:58,4,8,NOR 16,3,17,Thomas Morstead punts 41 yards,-2.390,-1.800
3,11:43,1,10,NYJ 43,3,17,Thomas Jones right tackle for 6 yards (tackle by Remi Ayodele and Anthony Hargrove),1.800,2.060
3,11:10,2,4,NYJ 49,3,17,Thomas Jones left tackle for 3 yards (tackle by Jonathan Vilma),2.060,1.750
3,10:32,3,1,NOR 48,3,17,Mark Sanchez pass incomplete short right intended for Chansi Stuckey,1.750,0.070
3,10:28,4,1,NOR 48,3,17,"Steve Weatherford punts 48 yards, touchback",0.070,-0.280
3,10:19,1,10,NOR 20,3,17,"Pierre Thomas right tackle for 12 yards (tackle by David Harris and Dwight Lowery). Penalty on Jahri Evans: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,9:56,1,20,NOR 10,3,17,Drew Brees pass complete deep middle to Jeremy Shockey for 20 yards (tackle by David Harris),-0.760,0.940
3,9:15,1,10,NOR 30,3,17,"Reggie Bush left tackle for 3 yards (tackle by Bryan Thomas). Reggie Bush fumbles (forced by Bryan Thomas), recovered by Dwight Lowery at NOR-34",0.940,-3.310
3,9:04,1,10,NOR 34,3,17,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery (defended by Charles Grant),3.310,2.770
3,9:02,2,10,NOR 34,3,17,Thomas Jones left guard for 4 yards (tackle by Jonathan Vilma),2.770,2.610
3,8:21,3,6,NOR 30,3,17,Mark Sanchez pass complete short left to Leon Washington for 15 yards (tackle by Tracy Porter),2.610,4.580
3,7:55,1,10,NOR 15,9,17,"Thomas Jones left guard for 15 yards, touchdown",4.580,7.000
3,,,,NOR 2,10,17,Jay Feely kicks extra point good,0.000,0.000
3,,,,NYJ 30,10,17,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
3,7:48,1,10,NOR 20,10,17,Pierre Thomas right tackle for 18 yards (tackle by Kerry Rhodes),0.280,1.470
3,7:12,1,10,NOR 38,10,17,Pierre Thomas right guard for 7 yards (tackle by Mike DeVito and David Harris),1.470,1.870
3,6:36,2,3,NOR 45,10,17,Pierre Thomas right guard for 18 yards (tackle by Kerry Rhodes and Darrelle Revis),1.870,3.120
3,5:55,1,10,NYJ 37,10,17,Drew Brees pass complete short right to Jeremy Shockey for 5 yards (tackle by Jim Leonhard),3.120,3.250
3,5:18,2,5,NYJ 32,10,17,Pierre Thomas left tackle for no gain (tackle by Marques Murrell and Mike DeVito),3.250,2.540
3,3:59,3,5,NYJ 32,10,17,Reggie Bush left tackle for 4 yards (tackle by Bryan Thomas),2.540,1.720
3,3:52,4,1,NYJ 28,10,17,Pierre Thomas left tackle for no gain (tackle by Sione Pouha),1.720,-0.810
3,3:52,1,10,NYJ 28,10,17,Mark Sanchez pass complete short right to Dustin Keller for 2 yards (tackle by Tracy Porter),0.810,0.530
3,3:15,2,8,NYJ 30,10,17,Leon Washington right guard for 7 yards (tackle by Jabari Greer and Will Smith),0.530,0.760
3,2:35,3,1,NYJ 37,10,17,Mark Sanchez pass incomplete short left intended for Chansi Stuckey (defended by Randall Gay),0.760,-0.910
3,2:30,4,1,NYJ 37,10,17,"Steve Weatherford punts 51 yards, returned by Reggie Bush for 22 yards (tackle by Brad Smith)",-0.910,-1.200
3,2:15,1,10,NOR 34,10,17,Pierre Thomas right guard for 4 yards (tackle by Sione Pouha and Bart Scott),1.200,1.200
3,1:41,2,6,NOR 38,10,17,Drew Brees middle for 7 yards (tackle by Sione Pouha),1.200,1.930
3,0:57,1,10,NOR 45,10,17,Drew Brees pass incomplete short right intended for Marques Colston,1.930,1.380
3,0:50,2,10,NOR 45,10,17,Pierre Thomas right guard for 2 yards (tackle by Bryan Thomas),1.380,0.960
3,0:08,3,8,NOR 47,10,17,Drew Brees pass complete short left to Devery Henderson for 7 yards (tackle by Dwight Lowery),0.960,0.200
Quarter,Time,Down,ToGo,Location,NYJ,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,NYJ 46,10,17,"Thomas Morstead punts 36 yards, fair catch by Jim Leonhard",0.200,0.380
4,14:53,1,10,NYJ 10,10,17,Thomas Jones right guard for 4 yards (tackle by Remi Ayodele),-0.380,-0.460
4,14:20,2,6,NYJ 14,10,17,Thomas Jones left guard for 4 yards (tackle by Darren Sharper),-0.460,-0.480
4,13:44,3,2,NYJ 18,10,17,Thomas Jones right guard for no gain (tackle by Scott Fujita and Bobby McCray),-0.480,-2.240
4,13:10,4,2,NYJ 18,10,17,Steve Weatherford punts 56 yards,-2.240,-0.670
4,12:56,1,10,NOR 26,10,17,Pierre Thomas right guard for 1 yard (tackle by Bryan Thomas and Marques Douglas),0.670,0.270
4,12:17,2,9,NOR 27,10,17,Drew Brees pass complete short left to Reggie Bush for 3 yards (tackle by Kerry Rhodes),0.270,-0.030
4,11:30,3,6,NOR 30,10,17,Drew Brees pass complete deep left to David Thomas for 18 yards (tackle by Eric Smith),-0.030,2.130
4,10:42,1,10,NOR 48,10,17,Pierre Thomas left guard for 7 yards (tackle by Jim Leonhard),2.130,2.530
4,10:00,2,3,NYJ 45,10,17,Pierre Thomas left guard for 1 yard (tackle by Marques Douglas and Marques Murrell),2.530,1.950
4,9:17,3,2,NYJ 44,10,17,Drew Brees pass complete short right to Lance Moore for 1 yard (tackle by Drew Coleman),1.950,0.400
4,9:06,,,,10,17,Timeout #1 by New York Jets,0.000,0.400
4,9:06,4,1,NYJ 43,10,17,"Penalty on Kris Jenkins: Encroachment, 6 yards (no play)",0.400,3.120
4,9:06,1,10,NYJ 37,10,17,"Drew Brees pass complete short middle to Pierre Thomas for no gain. Pierre Thomas fumbles (forced by David Harris), recovered by Drew Brees at NYJ-37",3.120,2.570
4,8:24,2,10,NYJ 37,10,17,Heath Evans left guard for 6 yards (tackle by Vernon Gholston and Bart Scott),2.570,2.680
4,7:41,,,,10,17,Timeout #1 by New Orleans Saints,0.000,2.680
4,7:41,3,4,NYJ 31,10,17,Drew Brees pass complete short right to Robert Meachem for 19 yards (tackle by Darrelle Revis),2.680,4.780
4,7:06,1,10,NYJ 12,10,17,Drew Brees pass complete short right to Heath Evans for 11 yards (tackle by Jim Leonhard),4.780,6.970
4,6:24,1,1,NYJ 1,10,17,Pierre Thomas right guard for no gain (tackle by Bart Scott and Kris Jenkins). Penalty on NYJ: Defensive 12 On-field (no play),6.970,6.970
4,6:13,1,1,NYJ 1,10,23,"Pierre Thomas right guard for 1 yard, touchdown",6.970,7.000
4,,,,NYJ 2,10,24,John Carney kicks extra point good,0.000,0.000
4,,,,NOR 30,10,24,"Thomas Morstead kicks off 70 yards, touchback",0.000,0.280
4,6:07,1,10,NYJ 20,10,24,Mark Sanchez pass complete deep middle to Jerricho Cotchery for 27 yards (tackle by Scott Fujita),0.280,2.060
4,5:28,1,10,NYJ 47,10,24,Mark Sanchez pass complete deep right to Jerricho Cotchery for 17 yards (tackle by Jabari Greer),2.060,3.180
4,4:55,1,10,NOR 36,10,24,Mark Sanchez pass incomplete short left intended for Chansi Stuckey,3.180,2.640
4,4:52,2,10,NOR 36,10,24,Mark Sanchez sacked by Will Smith and Darren Sharper for -11 yards,2.640,0.500
4,4:20,3,21,NOR 47,10,24,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery is intercepted by Darren Sharper at NOR-32,0.500,-1.070
4,4:09,1,10,NOR 32,10,24,Pierre Thomas left guard for 15 yards (tackle by Kerry Rhodes),1.070,2.060
4,3:24,1,10,NOR 47,10,24,Pierre Thomas right guard for 4 yards (tackle by Shaun Ellis and Kris Jenkins),2.060,2.060
4,2:40,2,6,NYJ 49,10,24,Pierre Thomas left guard for -1 yards (tackle by Marques Douglas),2.060,1.220
4,2:00,3,7,,10,24,"Penalty on Carl Nicks: False Start, 5 yards (no play)",1.220,0.560
4,2:00,3,12,NOR 45,10,24,Pierre Thomas middle for 4 yards (tackle by David Harris),0.560,-0.130
4,1:55,,,,10,24,Timeout #2 by New York Jets,0.000,-0.130
4,1:55,4,8,NOR 49,10,24,"Thomas Morstead punts 32 yards, fair catch by Jim Leonhard",-0.130,-0.150
4,1:47,1,10,NYJ 19,10,24,Mark Sanchez left tackle for 4 yards (tackle by Bobby McCray),0.150,0.210
4,1:24,2,6,NYJ 23,10,24,Mark Sanchez pass incomplete short right intended for Chansi Stuckey is intercepted by Randall Gay at NYJ-30 and returned for 25 yards,0.210,-6.060
4,1:16,1,5,NYJ 5,10,24,Drew Brees kneels for -1 yards,6.060,4.950
4,0:35,2,6,NYJ 6,10,24,Drew Brees kneels for -1 yards,4.950,3.810
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
