Quarter,Time,Tm,Detail,NYJ,NOR
1.0,8:06,Saints,John Carney 34 yard field goal,0,3
2.0,14:45,Saints,Darren Sharper 99 yard interception return (John Carney kick),0,10
,9:00,Saints,Remi Ayodele defensive fumble recovery in end zone (John Carney kick),0,17
,1:48,Jets,Jay Feely 38 yard field goal,3,17
3.0,7:48,Jets,Thomas Jones 15 yard rush (Jay Feely kick),10,17
4.0,6:07,Saints,Pierre Thomas 1 yard rush (John Carney kick),10,24
