Quarter,Time,Tm,Detail,JAX,NWE
1.0,9:21,Patriots,Stephen Gostkowski 31 yard field goal,0,3
2.0,14:15,Jaguars,Marcedes Lewis 4 yard pass from Blake Bortles (Josh Lambo kick),7,3
,7:06,Jaguars,Leonard Fournette 4 yard rush (Josh Lambo kick),14,3
,0:55,Patriots,James White 1 yard rush (Stephen Gostkowski kick),14,10
3.0,10:23,Jaguars,Josh Lambo 54 yard field goal,17,10
4.0,14:52,Jaguars,Josh Lambo 43 yard field goal,20,10
,8:44,Patriots,Danny Amendola 9 yard pass from Tom Brady (Stephen Gostkowski kick),20,17
,2:48,Patriots,Danny Amendola 4 yard pass from Tom Brady (Stephen Gostkowski kick),20,24
