Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NWE 25,0,0,Tom Brady pass complete short right to Dion Lewis for 5 yards (tackle by Telvin Smith),0.610,0.740
1,14:18,2,5,NWE 30,0,0,Tom Brady pass complete deep right to Brandin Cooks for 31 yards (tackle by Telvin Smith),0.740,2.980
1,13:47,1,10,JAX 39,0,0,Tom Brady for 1 yard,2.980,2.580
1,13:10,2,9,JAX 38,0,0,Rex Burkhead left end for 5 yards (tackle by Myles Jack),2.580,2.540
1,12:33,3,4,JAX 33,0,0,Tom Brady pass complete short right to Chris Hogan for 3 yards (tackle by Jalen Ramsey),2.540,0.000
1,11:49,,,,,,Timeout #1 by New England Patriots,0.000,-1.520
1,11:49,4,1,JAX 30,0,0,Tom Brady pass complete deep left to Danny Amendola for 20 yards,1.520,4.910
1,11:21,1,10,JAX 10,0,0,Tom Brady pass complete short left to Dion Lewis for -2 yards (tackle by Barry Church),4.910,3.860
1,10:46,2,12,JAX 12,0,0,Tom Brady pass complete short left to Dion Lewis for no gain,3.860,3.100
1,10:02,3,12,JAX 12,0,0,Tom Brady sacked by Dante Fowler for -1 yards,3.100,2.570
1,9:25,4,13,JAX 13,0,3,Stephen Gostkowski 31 yard field goal good,2.570,3.000
1,9:21,,,NWE 35,0,3,"Stephen Gostkowski kicks off 64 yards, returned by Corey Grant for 25 yards (tackle by Geneo Grissom)",0.000,-0.670
1,9:14,1,10,JAX 26,0,3,Leonard Fournette left tackle for 2 yards,0.670,0.400
1,8:35,2,8,JAX 28,0,3,Blake Bortles pass complete short right to Leonard Fournette for 8 yards (tackle by Malcolm Butler),0.400,1.330
1,7:48,1,10,JAX 36,0,3,Leonard Fournette left tackle for 3 yards (tackle by Trey Flowers and Patrick Chung),1.330,1.200
1,7:11,2,7,JAX 39,0,3,Blake Bortles pass complete short right to Leonard Fournette for 5 yards (tackle by Trey Flowers),1.200,1.160
1,6:31,3,2,JAX 44,0,3,Blake Bortles pass complete short right to Allen Hurns for 3 yards (tackle by James Harrison),1.160,2.060
1,6:01,1,10,JAX 47,0,3,T.J. Yeldon left tackle for 2 yards (tackle by Ricky Jean-Francois and Patrick Chung),2.060,1.790
1,5:20,2,8,JAX 49,0,3,Blake Bortles pass incomplete deep left intended for T.J. Yeldon,1.790,1.090
1,5:14,3,8,JAX 49,0,3,Blake Bortles pass incomplete short left intended for Marqise Lee (defended by Malcolm Butler),1.090,-0.130
1,5:09,4,8,JAX 49,0,3,"Brad Nortman punts 37 yards, fair catch by Danny Amendola",-0.130,0.280
1,5:01,1,10,NWE 14,0,3,Tom Brady pass complete short left to Brandin Cooks for 11 yards (tackle by A.J. Bouye),-0.280,0.610
1,4:40,1,10,NWE 25,0,3,Dion Lewis middle for 4 yards (tackle by Abry Jones),0.610,0.600
1,4:13,2,6,NWE 29,0,3,Danny Amendola right end for 3 yards (tackle by Telvin Smith),0.600,0.300
1,3:37,3,3,NWE 32,0,3,James White left tackle for 2 yards (tackle by A.J. Bouye),0.300,-1.110
1,2:58,4,1,NWE 34,0,3,"Ryan Allen punts 42 yards, out of bounds",-1.110,-0.540
1,2:51,1,10,JAX 24,0,3,Blake Bortles pass complete short left to Corey Grant for 20 yards (tackle by Duron Harmon),0.540,1.860
1,2:10,1,10,JAX 44,0,3,Blake Bortles pass complete short left to Marqise Lee for 7 yards (tackle by Elandon Roberts),1.860,2.260
1,1:36,2,3,NWE 49,0,3,Leonard Fournette middle for 6 yards (tackle by Elandon Roberts and Lawrence Guy),2.260,2.720
1,1:01,1,10,NWE 43,0,3,Leonard Fournette middle for 4 yards (tackle by James Harrison),2.720,2.720
1,0:23,2,6,NWE 39,0,3,Blake Bortles pass complete short right to Keelan Cole for 11 yards (tackle by Stephon Gilmore),2.720,3.710
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 28,0,3,Blake Bortles pass complete short right to Corey Grant for 24 yards (tackle by Devin McCourty),3.710,6.280
2,14:22,1,4,NWE 4,6,3,"Blake Bortles pass complete short right to Marcedes Lewis for 4 yards, touchdown",6.280,7.000
2,14:15,,,NWE 15,7,3,Josh Lambo kicks extra point good,0.000,0.000
2,14:15,,,JAX 35,7,3,"Josh Lambo kicks off 63 yards, returned by Dion Lewis for 23 yards (tackle by Corey Grant)",0.000,-0.610
2,14:07,1,10,NWE 25,7,3,Tom Brady pass incomplete short right intended for Dion Lewis,0.610,0.060
2,14:03,2,10,NWE 25,7,3,Dion Lewis middle for -1 yards (tackle by Marcell Dareus and Calais Campbell),0.060,-0.760
