Unnamed: 0,OAK,MIA
First Downs,18,23
Rush-Yds-TDs,14-46-0,44-209-2
Cmp-Att-Yd-TD-INT,20-41-273-2-1,13-25-162-1-0
Sacked-Yards,2-15,1-9
Net Pass Yards,258,153
Total Yards,304,362
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,10-91,8-79
Third Down Conv.,2-11,8-14
Fourth Down Conv.,1-1,0-0
Time of Possession,21:40,38:20
