Quarter,Time,Tm,Detail,OAK,MIA
1.0,10:11,Dolphins,Dan Carpenter 48 yard field goal,0,3
,1:30,Dolphins,Dan Carpenter 33 yard field goal,0,6
2.0,8:24,Dolphins,Davone Bess 12 yard pass from Matt Moore (Dan Carpenter kick),0,13
3.0,13:56,Dolphins,Reggie Bush 1 yard rush (Dan Carpenter kick),0,20
,5:01,Dolphins,Matt Moore 6 yard rush (Dan Carpenter kick),0,27
,4:41,Dolphins,Kevin Burnett 34 yard interception return (Dan Carpenter kick),0,34
4.0,7:51,Raiders,T.J. Houshmandzadeh 40 yard pass from Carson Palmer (Sebastian Janikowski kick),7,34
,3:26,Raiders,Darrius Heyward-Bey 3 yard pass from Carson Palmer (Sebastian Janikowski kick),14,34
