Unnamed: 0,CAR,BAL
First Downs,20,25
Rush-Yds-TDs,26-67-0,30-127-2
Cmp-Att-Yd-TD-INT,20-34-268-1-0,22-31-327-3-0
Sacked-Yards,2-20,0-0
Net Pass Yards,248,327
Total Yards,315,454
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,7-59,4-40
Third Down Conv.,10-15,10-13
Fourth Down Conv.,0-0,0-0
Time of Possession,29:36,30:24
