Quarter,Time,Tm,Detail,CAR,BAL
2.0,13:12,Ravens,Steve Smith Sr. 61 yard pass from Joe Flacco (Justin Tucker kick),0,7
,8:35,Panthers,Kelvin Benjamin 28 yard pass from Cam Newton (Graham Gano kick),7,7
,5:22,Ravens,Justin Forsett 11 yard rush (Justin Tucker kick),7,14
,1:53,Ravens,Steve Smith Sr. 21 yard pass from Joe Flacco (Justin Tucker kick),7,21
3.0,9:51,Ravens,Torrey Smith 24 yard pass from Joe Flacco (Justin Tucker kick),7,28
,3:30,Panthers,Graham Gano 37 yard field goal,10,28
4.0,11:34,Ravens,Lorenzo Taliaferro 1 yard rush (Justin Tucker kick),10,35
,3:33,Ravens,Justin Tucker 30 yard field goal,10,38
