Quarter,Time,Tm,Detail,SDG,WAS
1,5:22,Redskins,John Hall 38 yard field goal,0,3
2,10:31,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,3
,7:23,Redskins,Santana Moss 22 yard pass from Mark Brunell (John Hall kick),7,10
3,3:14,Redskins,Rock Cartwright 13 yard rush (John Hall kick),7,17
4,14:08,Chargers,Nate Kaeding 48 yard field goal,10,17
,3:29,Chargers,LaDainian Tomlinson 32 yard rush (Nate Kaeding kick),17,17
OT,14:26,Chargers,LaDainian Tomlinson 41 yard rush,23,17
