Unnamed: 0,SDG,WAS
First Downs,24,15
Rush-Yds-TDs,28-202-3,33-91-1
Cmp-Att-Yd-TD-INT,22-45-215-0-3,17-27-194-1-0
Sacked-Yards,3-20,2-3
Net Pass Yards,195,191
Total Yards,397,282
Fumbles-Lost,1-0,2-0
Turnovers,3,0
Penalties-Yards,6-40,7-60
Third Down Conv.,6-15,3-14
Fourth Down Conv.,0-0,0-0
Time of Possession,30:47,29:47
