Unnamed: 0,MIA,BUF
First Downs,17,21
Rush-Yds-TDs,38-254-1,19-113-1
Cmp-Att-Yd-TD-INT,10-20-217-2-0,31-47-316-2-3
Sacked-Yards,2-23,3-25
Net Pass Yards,194,291
Total Yards,448,404
Fumbles-Lost,3-3,2-0
Turnovers,3,3
Penalties-Yards,5-62,11-92
Third Down Conv.,3-13,0-11
Fourth Down Conv.,0-1,1-1
Time of Possession,28:49,31:11
