Quarter,Time,Tm,Detail,MIA,BUF
1.0,4:53,Bills,C.J. Spiller 24 yard rush (Dave Rayner kick),0,7
2.0,14:53,Dolphins,Anthony Fasano 22 yard pass from Matt Moore (Dan Carpenter kick),7,7
,8:34,Dolphins,Dan Carpenter 20 yard field goal,10,7
,6:05,Dolphins,Dan Carpenter 26 yard field goal,13,7
3.0,12:06,Dolphins,Brandon Marshall 65 yard pass from Matt Moore (Dan Carpenter kick),20,7
4.0,11:46,Dolphins,Dan Carpenter 26 yard field goal,23,7
,5:54,Bills,C.J. Spiller 3 yard pass from Ryan Fitzpatrick (pass failed),23,13
,5:41,Dolphins,Reggie Bush 76 yard rush (Dan Carpenter kick),30,13
,2:27,Bills,Derek Hagan 2 yard pass from Ryan Fitzpatrick (Dave Rayner kick),30,20
,1:22,Bills,Dave Rayner 34 yard field goal,30,23
